Ourmodel,Hypothesis,Predictions
सके बहुत सारे कारण होते हैं लेकिन आपको उसका उपचार तुरंत करा लेना चाहिए,सके बहुत सारे कारण होते हैं लेकिन आपको उसका उपचार तुरंत करा लेना चाहिए,इसके बहुत सारे कारण होते हैं लेकिन आपको उसका उपचार तुरंत करा लेना चाहिए
तो इसका उपचार बहुत ज्यादा कठिन नहीं है आसान है पास ही के पशु चिकित्सक से संपर्क करना चाहिए और उसके कई मेडिसिनस आती हैं,तो इसका उपचार बहुत ज्यादा कठिन नहीं है आसान है पास ही के पशु चिकित्सक से संपर्क करना चाहिए और उसके कई मेडिसिनस आती हैं,तो इसका उपचार बहुत ज्यादा कठिन नहीं है आसान है पास ही के पशु चिकित्सक से संपर्क करना चाहिए और उसके कई मेडिसिंस आती हैं
आप मैस को खडी करें तो इस तरह से खडी करें गाय को जिसका बोले होरहा तो उसके अगले वाले पैर गड्ढे में रखे तो पीछे वाले पैरों को ऊँंचा कर दे,आप मैस को खडी करें तो इस तरह से खडी करें गाय को जिसका बोले होरहा तो उसके अगले वाले पैर गड्ढे में रखे तो पीछे वाले पैरों को ऊँंचा कर दे,आप मैस को खडी करें तो इस तरह से खडी करें गाय को जिसका बोले हो रहा है तो उसके अगले वाले पैर गड्ढे में रखे तो पीछे वाले पैरों को ऊंचा कर दें
और,और,और
जैसा कि किसान भाइयों,जैसा कि किसान भाइयों,जैसा कि किसान भाइयों
कृषक जगत के फेसबुक लाइव पर भी आज कुछ तकनीकी कारणों से हम इस कार्यक्रम को दिखा नहीं पाएगे लेकिन,कृषक जगत के फेसबुक लाइव पर भी आज कुछ तकनीकी कारणों से हम इस कार्यक्रम को दिखा नहीं पाएगे लेकिन,कृषक जगत के फेसबुक लाइव पर भी आज कुछ तकनीकी कारणों से हम इस कार्यक्रम को दिखा नहीं पाएंगे
हमारे किसान भाइयों को प्रश्नों के जवाब दे सकते हैं और मैं,हमारे किसान भाइयों को प्रश्नों के जवाब दे सकते हैं और मैं,हमारे किसान भाइयों को प्रश्नों के जवाब दे सकते हैं और मैं
ताकि वो उसका सही विवेचना कर पाएं सही तरह से डाइग्नोसिस कर पाएं बीमारी को उसके बाद ही दवाई दें,ताकि वो उसका सही विवेचना कर पाएं सही तरह से डाइग्नोसिस कर पाएं बीमारी को उसके बाद ही दवाई दें,ताकि वो उसका सही विवेचना कर पाए सही तरह से डाइग्नोसिस कर पाएं बीमारी को उसके बाद ही दवाई दें
भी मैं बहुत बहुत आबादी हूँ आप सभी का आभार सभी किसान भाईयों धन्यवाद,भी मैं बहुत बहुत आबादी हूँ आप सभी का आभार सभी किसान भाईयों धन्यवाद,सभी मैं बहुतबहुत आबादी हूं आप सभी का आभार सभी किसान भाईयों धन्यवाद
हम आपके साथ सिल अगले किसी प्रोग्राम में किसी विषय को लेकर किसान सत्र में जुड़ेंगे धन्यवाद,हम आपके साथ सिल अगले किसी प्रोग्राम में किसी विषय को लेकर किसान सत्र में जुड़ेंगे धन्यवाद,हम आपके साथ सिल अगले किसी प्रोग्राम में किसी विषय को लेकर किसान सत्र में जुड़ेंगे धन्यवाद
अभी भी बहुत न्यू कॉनसेप्ट है,अभी भी बहुत न्यू कॉनसेप्ट है,अभी भी बहुत न्यू कॉन्सेप्ट है
उस टाइम पे अपने क्यों शुरूआत कीइसकी,उस टाइम पे अपने क्यों शुरूआत कीइसकी,उस टाइम पे अपने क्यों शुरूआत की
डिस्कस फिस जो है किंग ऑफ एक्पेरियम्स माना जाता है,डिस्कस फिस जो है किंग ऑफ एक्पेरियम्स माना जाता है,डिस्कस फिस जो है किंग ऑफ एक्पेरियम्स माना जाता है
अगर कोई फार्मर इसको लेके ऐजेन प्रोफेशन या कुछ कमाई का दौर बनाना चाहता है तो उसके लिए,अगर कोई फार्मर इसको लेके ऐजेन प्रोफेशन या कुछ कमाई का दौर बनाना चाहता है तो उसके लिए,अगर कोई फार्मर इसको लेके ऐजेन प्रोफेशन या कुछ कमाई का दौर बनाना चाहता है तो उसके लिए
ये आपको,ये आपको,ये आपको
किस तरीके का वो होता है,किस तरीके का वो होता है,किस तरीके का वो होता है
तो फाइनली अगर देखेंगे तो अगर जो सीरियस हॉबेस्ट है ये आता है डिस्कस फिश रखने के शॉकपे वोइंटरनेट मीडिया पर,तो फाइनली अगर देखेंगे तो अगर जो सीरियस हॉबेस्ट है ये आता है डिस्कस फिश रखने के शॉकपे वोइंटरनेट मीडिया पर,तो फाइनली अगर देखेंगे तो अगर जो सीरियस हॉबेस्ट है यह आता है डिस्कस फिश रखने के शॉक पे वोइंटरनेट मीडिया पर
कभी आपको ऐसा दिक्कत हुआ या मेरे पास करोड़ों रुपये का ै इतना फिश है,कभी आपको ऐसा दिक्कत हुआ या मेरे पास करोड़ों रुपये का ै इतना फिश है,कभी आपको ऐसा दिक्कत हुआ या मेरे पास करोड़ों रुपये का है इतना फिश है
लेकिन हमने जब से शुरूआत किया आइहै मैं एक्सपेंड करता गया फाॉर्म बढ़ाता गया लोकेशन चेंज करता गया,लेकिन हमने जब से शुरूआत किया आइहै मैं एक्सपेंड करता गया फाॉर्म बढ़ाता गया लोकेशन चेंज करता गया,लेकिन हमने जब से शुरूआत किया है मैं एक्सपेंड करता गया फार्म बढ़ाता गया लोकेशन चेंज करता गया
फिश अच्छे से रखना सीख जाए हेल्दी रखे तो,फिश अच्छे से रखना सीख जाए हेल्दी रखे तो,फिश अच्छे से रखना सीख जाए हेल्दी रखे तो
कोई भी एक सेगमेंट को लेके गाइडेंस को लेके लोन रिलेटेड सब्सिडी रिलेटेड आप वहां से कॉनटैक्ट करके पूछ सकते हैं,कोई भी एक सेगमेंट को लेके गाइडेंस को लेके लोन रिलेटेड सब्सिडी रिलेटेड आप वहां से कॉनटैक्ट करके पूछ सकते हैं,कोई भी एक सेगमेंट को लेके गाइडेंस को लेके लोन रिलेटेड सब्सिडी रिलेटेड आप वहां से कॉन्टैक्ट करके पूछ सकते हैं
आपके यहां पर दूसरा हमारा जो ये फॉर्म है,आपके यहां पर दूसरा हमारा जो ये फॉर्म है,आपके यहां पर दूसरा हमारा जो ये फॉर्म है
उसको सब सरफेड ड्रिप इरिगेशन बोलते हैं,उसको सब सरफेड ड्रिप इरिगेशन बोलते हैं,उसको सब सरफेड ड्रिप इरिगेशन बोलते हैं
दस से बीस हजार तक जाता है,दस से बीस हजार तक जाता है,दस से बीस हजार तक जाता है
कई बार,कई बार,कई बार
जो कौरो थे,जो कौरो थे,जो कौरो थे
वो पाडमों को,वो पाडमों को,वो पाडमों को
खेती के साथ कुछ ऐसा ही है,खेती के साथ कुछ ऐसा ही है,खेती के साथ कुछ ऐसा ही है
जिसको तांस का पत्ता चोरी करना आता है,जिसको तांस का पत्ता चोरी करना आता है,जिसको तांस का पत्ता चोरी करना आता है
और उन बातों के पीछे काआर्थ यही होता है कि कोई न कोई चीज उसको बेंची जाती है क्या तो प्लांटिंग मैटीरियल बेंचा जाता है या,और उन बातों के पीछे काआर्थ यही होता है कि कोई न कोई चीज उसको बेंची जाती है क्या तो प्लांटिंग मैटीरियल बेंचा जाता है या,और उन बातों के पीछे का आर्थ यही होता है कि कोई न कोई चीज उसको बेंची जाती है क्या तो प्लांटिंग मैटीरियल बेंचा जाता है या
यथार्थ में वो समझ पाएया न समझ पाए,यथार्थ में वो समझ पाएया न समझ पाए,यथार्थ में वो समझ पाएया न समझ पाए
जो साधन संपन्न है जिनके घरों में कोई नौकरी करता है जिसके पास पच्चीस एकड पचास एकड़ जमीन है,जो साधन संपन्न है जिनके घरों में कोई नौकरी करता है जिसके पास पच्चीस एकड पचास एकड़ जमीन है,जो साधन संपन्न है जिनके घरों में कोई नौकरी करता है जिसके पास पच्चीस एकड़ पचास एकड़ जमीन है
जमीन की फर्टिलिटी हार चुके और आज ं,जमीन की फर्टिलिटी हार चुके और आज ं,जमीन की फर्टिलिटी हार चुके और आज
मेरा जो विचार है मेरा जो विषय है वो एक ही है कि प्राकृतिक खेती का मतलब है पंच महाभूत के साथ,मेरा जो विचार है मेरा जो विषय है वो एक ही है कि प्राकृतिक खेती का मतलब है पंच महाभूत के साथ,मेरा जो विचार है मेरा जो विचार है मेरा जो विषय है वो एक ही है कि प्राकृतिक खेती का मतलब है पंच महाभूत के साथ
और आजकल प्रैकटिक खेती के बारे में भी लोग कहते हैं कि ये इंइस इंसेक्ट को ऐसे खत्म करना है इस बीमारी को ऐसे खत्म करना है इसका मैनेजमेंट ऐसे करना ै इसका मैनेजमेंट ऐसे करना है,और आजकल प्रैकटिक खेती के बारे में भी लोग कहते हैं कि ये इंइस इंसेक्ट को ऐसे खत्म करना है इस बीमारी को ऐसे खत्म करना है इसका मैनेजमेंट ऐसे करना ै इसका मैनेजमेंट ऐसे करना है,और आजकल प्रैक्टिक खेती के बारे में भी लोग कहते हैं कि ये इस इंसेक्ट को ऐसे खत्म करना है इस बीमारी को ऐसे खत्म करना है इसका मैनेजमेंट ऐसे करना है इसका मैनेजमेंट ऐसे करना है इसका मैनेजमेंट ऐसे करना ह
अब उसके बाद अगर कोई दुश्मन बच गए तो आप क्या करेंगे तो फिर येक ्यों पा,अब उसके बाद अगर कोई दुश्मन बच गए तो आप क्या करेंगे तो फिर येक ्यों पा,अब उसके बाद अगर कोई दुश्मन बच गए तो आप क्या करेंगे तो फिर ये क्यों पा
तो फसल सुरक्षा रसायन बंद करने के लिए तो मैं प्राक्तिक खेती कर रहा था,तो फसल सुरक्षा रसायन बंद करने के लिए तो मैं प्राक्तिक खेती कर रहा था,तो फसल सुरक्षा रसायन बंद करने के लिए तो मैं प्राक्तिक खेती कर रहा था
धरती माता की उर्बरता को बढ़ाने के लिए,धरती माता की उर्बरता को बढ़ाने के लिए,धरती माता की उर्बरता को बढ़ाने के लिए
और इतनी मजबूत हो जाए,और इतनी मजबूत हो जाए,और इतनी मजबूत हो जाए
कई बार इसके बावजूद,कई बार इसके बावजूद,कई बार इसके बावजूद
और मैं ऐसा कैसे बूल जाता हूं कि ब,और मैं ऐसा कैसे बूल जाता हूं कि ब,और मैं ऐसा कैसे बूल जाता हूं कि ब
जिसने चमत्कार किया हो और खेती में एक चीज और बता दोँ,जिसने चमत्कार किया हो और खेती में एक चीज और बता दोँ,जिसने चमत्कार किया हो और खेती में एक चीज और बता दों
मेरी आज की इस वीडियो का मतलब है सरल भाषा में कह दूं तो किसान को,मेरी आज की इस वीडियो का मतलब है सरल भाषा में कह दूं तो किसान को,मेरी आज की इस वीडियो का मतलब है सरल भाषा में कह दूं तो किसान को
आप तो इस धरती को कंसीडर कर लीजिए बस क्या,आप तो इस धरती को कंसीडर कर लीजिए बस क्या,आप तो इस धरती को कंसीडर कर लीजिए बस क्या
बाहर से कहीं से खरीद करके ला सकते तो वो करो,बाहर से कहीं से खरीद करके ला सकते तो वो करो,बाहर से कहीं से खरीद करके ला सकते तो वो करो
तो आप कहानी आजकल एक चल रही है जीवामृत की जीवामृत की सिंपिल कहानही बताता हूँ फिर एक बार आप सुन लीजिए,तो आप कहानी आजकल एक चल रही है जीवामृत की जीवामृत की सिंपिल कहानही बताता हूँ फिर एक बार आप सुन लीजिए,तो आप कहानी आजकल एक चल रही है जीवामृत की जीवामृत की सिंपिल कहानी बताता हूं फिर एक बार आप सुन लीजिए
तो फिर उनका कारोबार चलेगा परासायनिक और बक डालिए मिट्टी की जांच कराइए फिर जमीन में इम बाैलेंस सोलह पोषक तत्वों के बीच में इम बैलेंस क्रिएट होंगे,तो फिर उनका कारोबार चलेगा परासायनिक और बक डालिए मिट्टी की जांच कराइए फिर जमीन में इम बाैलेंस सोलह पोषक तत्वों के बीच में इम बैलेंस क्रिएट होंगे,तो फिर उनका कारोबार चलेगा परासायनिक और बक डालिए मिट्टी की जांच कराइए फिर जमीन में इम बाईलेंस सोलह पोषक तत्वों के बीच में इम बैलेंस क्रिएट होंगे
और जो पैसा जेब में कमा किलाए हो,और जो पैसा जेब में कमा किलाए हो,और जो पैसा जेब में कमा किलाए हो
लेकिन एक दार्शनिक व्यक्ति,लेकिन एक दार्शनिक व्यक्ति,लेकिन एक दार्शनिक व्यक्ति
जो किसान की खेती है जो किसानी का कारोबार है जो संस्कृति है खेती एक संस्कृति है खेती संस्कार है खेती दर्शन है खेती आध्यात्म खेती भगवान की साक्षात पूजा,जो किसान की खेती है जो किसानी का कारोबार है जो संस्कृति है खेती एक संस्कृति है खेती संस्कार है खेती दर्शन है खेती आध्यात्म खेती भगवान की साक्षात पूजा,जो किसान की खेती है जो किसानी का कारोबार है जो संस्कृति है खेती एक संस्कृति है खेती संस्कार है खेती दर्शन है खेती आध्यात्म खेती भगवान की साक्षात पूजा
कि आप मेरी इस बात से सहमत होंगे और विचार करेंगे नमस्कार,कि आप मेरी इस बात से सहमत होंगे और विचार करेंगे नमस्कार,कि आप मेरी इस बात से सहमत होंगे और विचार करेंगे नमस्कार
और छाच वगैरह स्प्रे करवा देते एक दो,और छाच वगैरह स्प्रे करवा देते एक दो,और छाच व गैरह स्प्रे करवा देते एक दो
बाईस हजार से पच्चीस हजार किलोहै,बाईस हजार से पच्चीस हजार किलोहै,बाईस हजार से पच्चीस हजार किलो है
य जो इकनॉमिक साइकल बिठाना है,य जो इकनॉमिक साइकल बिठाना है,यह जो इकनॉमिक साइकल बिठाना है
और तीसरा मुद्दा रहेगा कि कोई भी नया अगर इस विषय पर काम शुरू करना चाहे वो डेयरी की तरफ बढ़े गौशाला की तरफ बढ़े या वो ब्रीडिंग की तरफ बढ़े डॉ ब पहले,और तीसरा मुद्दा रहेगा कि कोई भी नया अगर इस विषय पर काम शुरू करना चाहे वो डेयरी की तरफ बढ़े गौशाला की तरफ बढ़े या वो ब्रीडिंग की तरफ बढ़े डॉ ब पहले,और तीसरा मुद्दा रहेगा कि कोई भी नया अगर इस विषय पर काम शुरू करना चाहे वो डेयरी की तरफ बढ़े गौशाला की तरफ बढ़े या वो ब्रीडिंग की तरफ बढ़े डॉब पहले
र,र,शून्य राष्ट्रीय मंत्री राष्ट्रीय मंत्री
जीवन पद्धति में ऑडिट बोलता सिर्फ सीएक ऑर्डिट,जीवन पद्धति में ऑडिट बोलता सिर्फ सीएक ऑर्डिट,जीवन पद्धति में ऑडिट बोलता सिर्फ सीएक ऑर्डिट
कॉरपोरेट सेक्टर में हर मंत्री भी होता है,कॉरपोरेट सेक्टर में हर मंत्री भी होता है,कॉरपोरेट सेक्टर में हर मंत्री भी होता है
दस लीटर दूध अगर रोज का है,दस लीटर दूध अगर रोज का है,दस लीटर दूध अगर रोज का है
मेरा जो प्रोसेट रिपोर्ट रहता है,मेरा जो प्रोसेट रिपोर्ट रहता है,मेरा जो प्रोसेट रिपोर्ट रहता है
वो पाँच बार बदलता है,वो पाँच बार बदलता है,वो पांच बार बदलता है
तो मैं उनका पूछता हूँ मैं जब नाइनी फोर में वेटर में सीख रहा ता गाइनेकॉलॉजी तब उस टाइम,तो मैं उनका पूछता हूँ मैं जब नाइनी फोर में वेटर में सीख रहा ता गाइनेकॉलॉजी तब उस टाइम,तो मैं उनका पूछता हूं मैं जब नाइनी फोर में वेटर में सीख रहा ता गाइनेकॉलॉजी तब उस टाइम
आप,आप,आप
मेहनत लगती पेशंस लगता इन्वेस्टमेंट लगता है,मेहनत लगती पेशंस लगता इन्वेस्टमेंट लगता है,मेहनत लगती पेशंस लगता इन्वेस्टमेंट लगता है
बहुत जरूरी बात है,बहुत जरूरी बात है,बहुत जरूरी बात है
जिसका हम बोल सकते हैं कि ड्राई इन्वार्मेंट में ही ज्यादा वो फ्लाबर ोपन है,जिसका हम बोल सकते हैं कि ड्राई इन्वार्मेंट में ही ज्यादा वो फ्लाबर ोपन है,जिसका हम बोल सकते हैं कि ड्राई इन्वार्मेंट में ही ज्यादा वो फ्लाबरोपन है
उसकी फ्लावरिंग स्टे जा है,उसकी फ्लावरिंग स्टे जा है,उसकी फ्लावरिंग स्टे जा है
के बीटी के ऊपर खुद का है,के बीटी के ऊपर खुद का है,के बीटी के ऊपर खुद का है
इसमेंक्योंकि वाटर मैनेजमेंट ऐसा है के अगर शुरूआत में आपने वाटर मैनेजमेंट में थोड़ा सा भी गलत काम है,इसमेंक्योंकि वाटर मैनेजमेंट ऐसा है के अगर शुरूआत में आपने वाटर मैनेजमेंट में थोड़ा सा भी गलत काम है,इसमें क्योंकि वाटर मैनेजमेंट ऐसा है के अगर शुरूआत में आपने वाटर मैनेजमेंट में थोड़ा सा भी गलत काम है
प्लांट की म्यूनिटी भी दोनों कॉम्पोनेंट से है,प्लांट की म्यूनिटी भी दोनों कॉम्पोनेंट से है,प्लांट की म्यूनिटी भी दोनों कॉम्पोनेंट से है
हमैकइसमें पॉइंट आपका ै,हमैकइसमें पॉइंट आपका ै,हमैक इसमें पॉइंट आपका है
और आप जहां तीन सपरे आपके सकिंग पेस्ट के होने या थ्रिप्स का है,और आप जहां तीन सपरे आपके सकिंग पेस्ट के होने या थ्रिप्स का है,और आप जहां तीन सपरे आपके सकिंग पेस्ट के होने या थ्रिप्स का है
इसका पानी की मात्रा बढ़ने से इसके साथ ये चिपक गया इसको हवा सेये,इसका पानी की मात्रा बढ़ने से इसके साथ ये चिपक गया इसको हवा सेये,इसका पानी की मात्रा बढ़ने से इसके साथ यह चिपक गया इसको हवा से है
इतना हमको चाहिए तो जो रै,इतना हमको चाहिए तो जो रै,इतना हम को चाहिए तो जो रहे
जो छुगाई करने वाला है,जो छुगाई करने वाला है,जो छुगाई करने वाला है
फेमिली आपका पोटैटो बलॉन करता है,फेमिली आपका पोटैटो बलॉन करता है,फेमिली आपका पोटैटो बलॉन करता है
ये हो या और भी जैसे हमारी तचा रू की सूखी बनी है,ये हो या और भी जैसे हमारी तचा रू की सूखी बनी है,ये हो या और भी जैसे हमारी तचारू की सूखी बनी है
और कौरव पांडव की सेनाएं आमने सामने हैं,और कौरव पांडव की सेनाएं आमने सामने हैं,और कौरव पांडव की सेनाएं आमने सामने हैं
और युद्ध के आगाज के बाद,और युद्ध के आगाज के बाद,और युद्ध के आगाज के बाद
और ये धर्म युद्ध तो हो के रहेगा,और ये धर्म युद्ध तो हो के रहेगा,और ये धर्मयुद्ध तो हो कर रहेगा
इन पर बाढ चलाई ये गीता का स्लोक है मैं जो आपको बताने जा रहा हूँ किस पृथ्वी पर,इन पर बाढ चलाई ये गीता का स्लोक है मैं जो आपको बताने जा रहा हूँ किस पृथ्वी पर,इन पर बाढ़ चलाई ये गीता का स्लोक है मैं जो आपको बताने जा रहा हूं किस पृथ्वी पर
इस विषय को ध्यान करिया और उस परमात्मा ने मनुष्य को धरती पर अवतरित इसलिए किया है,इस विषय को ध्यान करिया और उस परमात्मा ने मनुष्य को धरती पर अवतरित इसलिए किया है,इस विषय को ध्यान करिया और उस परमात्मा ने मनुष्य को धरती पर अवतरित इसलिए किया है
उस बगिया की देखरेख करता है,उस बगिया की देखरेख करता है,उस बगिया की देखरेख करता है
सामंजस्य को बना करके रखना है,सामंजस्य को बना करके रखना है,सामंजस्य को बना करके रखना है
अपने निजी स्वार्थों की पूर्ति के लिए,अपने निजी स्वार्थों की पूर्ति के लिए,अपने निजी स्वार्थों की पूर्ति के लिए
और वो परमात्मा फिर एक बार,और वो परमात्मा फिर एक बार,और वो परमात्मा फिर एक बार
क्या मैं स्वयं,क्या मैं स्वयं,क्या मैं स्वयं
जो मुझे होना चाहिए,जो मुझे होना चाहिए,जो मुझे होना चाहिए
कनहीं इस संसार में,कनहीं इस संसार में,कनहीं इस संसार में
विषय का विषय का विषय बनाते चले जा रहे लोग लेकिन दो विषय अगर नहीं समझते,विषय का विषय का विषय बनाते चले जा रहे लोग लेकिन दो विषय अगर नहीं समझते,विषय का विषय बनाते चले जा रहे लोग लेकिन दो विषय अगर नहीं समझते
स्कूल कॉलेज विश्वविद्यालय,स्कूल कॉलेज विश्वविद्यालय,स्कूल कॉलेज विश्वविद्यालय
दर्शन मतलब है,दर्शन मतलब है,दर्शन मतलब एक हज़ार नौ सौ पचास है
वो विषय है,वो विषय है,वो विषय है
जो अतारी व्यक्ति होता है,जो अतारी व्यक्ति होता है,जो अतारी व्यक्ति होता है
राम चाहेते तो अयोध्या के राजा बने रह सकते थे,राम चाहेते तो अयोध्या के राजा बने रह सकते थे,राम चाहेते तो अयोध्या के राजा बने रह सकते थे
राजनीति में लड़ाइयां हैं उसी प्रकार,राजनीति में लड़ाइयां हैं उसी प्रकार,राजनीति में लड़ाइयां हैं उसी प्रकार
मंदिर जाया करो मंदिर में लोग बुलाते हैं,मंदिर जाया करो मंदिर में लोग बुलाते हैं,मंदिर जाया करो मंदिर में लोग बुलाते हैं
कि मेरे मंदिर में आया करो,कि मेरे मंदिर में आया करो,कि मेरे मंदिर में आया करो
अगर किसी मंदिर की मान्यता है,अगर किसी मंदिर की मान्यता है,अगर किसी मंदिर की मान्यता है
जीव आखिर क्यों है,जीव आखिर क्यों है,जीव आखिर क्यों है
भाव के बारे में रामायण में एक चौपाई है,भाव के बारे में रामायण में एक चौपाई है,भाव के बारे में रामायण में एक चौपाई है
एक ही चीज है,एक ही चीज है,एक ही चीज है
तो मंदिर का मतलब है,तो मंदिर का मतलब है,तो मंदिर का मतलब है
परीक्षा दे करके पास हो जाता है,परीक्षा दे करके पास हो जाता है,परीक्षा दे करके पास हो जाता है
जल चेतन जगत की इकाइयां है,जल चेतन जगत की इकाइयां है,जल चेतन जगत की इकाइयां हैं
कि मनुष्य के जीवन में दुख निरंतर बढ़ते जाएंगे मनुष्य के जीवन से खुशियां समाप्त होती चली जाएंगी,कि मनुष्य के जीवन में दुख निरंतर बढ़ते जाएंगे मनुष्य के जीवन से खुशियां समाप्त होती चली जाएंगी,कि मनुष्य के जीवन में दुख निरंतर बढ़ते जाएंगे मनुष्य के जीवन से खुशियां समाप्त होती चली जाएंगी
उन्होंने तो अपनी धरती माता को,उन्होंने तो अपनी धरती माता को,उन्होंने तो अपनी धरती माता को
सेम टू सेम कहानी मां भी भईया,सेम टू सेम कहानी मां भी भईया,सेम टू सेम कहानी मां भी भईया
और जो आधुनिक कृषि विज्ञान है उसके पास कौन सा समाधान है,और जो आधुनिक कृषि विज्ञान है उसके पास कौन सा समाधान है,और जो आधुनिक कृषि विज्ञान है उसके पास कौन सा समाधान है
लाखों करोड़ रुपये के मूल्य के,लाखों करोड़ रुपये के मूल्य के,लाखों करोड़ रुपये के मूल्य के
किसी कीत को मार पाए क्या,किसी कीत को मार पाए क्या,किसी कीत को मार पाए क्या
तो जब किसान उत्पादन बढ़ाता है तो क्या करता है,तो जब किसान उत्पादन बढ़ाता है तो क्या करता है,तो जब किसान उत्पादन बढ़ाता है तो क्या करता है
और ये निजी स्वार् के चक्कर में,और ये निजी स्वार् के चक्कर में,और ये निजी स्वार के चक्कर में
लिए लेयरअब आप कल्पना करिए,लिए लेयरअब आप कल्पना करिए,लेयर अब आप कल्पना करिए
ब्रह्म कितनी सरल सी कहानी है,ब्रह्म कितनी सरल सी कहानी है,ब्रह्म कितनी सरल सी कहानी है
समुद्र से पानी इवह प्रेट होकरके कहां इकट्ठा होता है,समुद्र से पानी इवह प्रेट होकरके कहां इकट्ठा होता है,समुद्र से पानी इवह प्रेट होकर के कहां इकट्ठा होता है
ये कोई छोटी चीज है,ये कोई छोटी चीज है,यह कोई छोटी चीज है
वो समाधान सब प्रकृति के पास है जंगल के पास है,वो समाधान सब प्रकृति के पास है जंगल के पास है,वो समाधान सब प्रकृति के पास है जंगल के पास है
दूसरे मॉड्यूल के अंदर हम आपको बताएंगे कि आखिर ऑर्गेनिक एग्रीकल्चर की जब हम बात करते हैं तो आखिर ऑर्गेनिक फार्मिंग है क्या,दूसरे मॉड्यूल के अंदर हम आपको बताएंगे कि आखिर ऑर्गेनिक एग्रीकल्चर की जब हम बात करते हैं तो आखिर ऑर्गेनिक फार्मिंग है क्या,दूसरे मॉड्यूल के अंदर हम आपको बताएंगे कि आखिर ऑर्गेनिक एग्रीकल्चर की जब हम बात करते हैं तो आखिर ऑर्गेनिक फार्मिंग है क्या
वो रहता है कि जमीन कितनी मजबूत है और हमारा नौवा मॉड्यूल पूरा का पूरा न्यूट्रियंट मैनेजमेंट पे रहेगा,वो रहता है कि जमीन कितनी मजबूत है और हमारा नौवा मॉड्यूल पूरा का पूरा न्यूट्रियंट मैनेजमेंट पे रहेगा,वो रहता है कि जमीन कितनी मजबूत है और हमारा नौवा मॉड्यूल पूरा का पूरा न्यूट्रियंट मैनेजमेंट पे रहेगा
एक बिगा एक एकड़ विनी ती मेरे पास ै,एक बिगा एक एकड़ विनी ती मेरे पास ै,एक बिगा एक एकड़ विनि ती मेरे पास है
मैं ये कहना चाहूंगा,मैं ये कहना चाहूंगा,मैं ये कहना चाहूंगा
वो माता ही किस कार की,वो माता ही किस कार की,वो माता ही किस कार की
जिसमें,जिसमें,जिसमें
ये आपकी कोकोनट की वेराइटीज हैं तो यू हैव टू रिमेंबरट ये आपका कोकोनाट का पौधा होता ह इस तरीके से लगता है,ये आपकी कोकोनट की वेराइटीज हैं तो यू हैव टू रिमेंबरट ये आपका कोकोनाट का पौधा होता ह इस तरीके से लगता है,ये आपकी कोकोनट की वेराइटीज हैं तो यू हैव टू रिमेंबर्ट ये आपका कोकोनाट का पौधा होता है इस तरीके से लगता है
इसके बाद आता है एपल स्केब ये भी एक बहुत ही बेकार् डिजीज होती है जो आपकी एपपल में देखने को मिलता है,इसके बाद आता है एपल स्केब ये भी एक बहुत ही बेकार् डिजीज होती है जो आपकी एपपल में देखने को मिलता है,इसके बाद आता है एपल स्केब ये भी एक बहुत ही बेकार्ड डिजीज होती है जो आपकी एपपल में देखने को मिलता है
इसमें थोड़ा सा कम समझ में आया तो आप फिर से जाइए दो क्रॉप मैंने पढ़ाई है,इसमें थोड़ा सा कम समझ में आया तो आप फिर से जाइए दो क्रॉप मैंने पढ़ाई है,इसमें थोड़ा सा कम समझ में आया तो आप फिर से जाइए दो क्रॉप मैंने पढ़ाई है
अगर देश का अनदाता किसान कर्जदार है,अगर देश का अनदाता किसान कर्जदार है,अगर देश का अनदाता किसान कर्जदार है
तुमको तीन चीजों की तलाश करनी है,तुमको तीन चीजों की तलाश करनी है,तुमको तीन चीजों की तलाश करनी है
धर्म का अगर ज्ञान होता,धर्म का अगर ज्ञान होता,धर्म का अगर ज्ञान होता
यही खेती है,यही खेती है,यही खेती है
संस्कृति संस्कार,संस्कृति संस्कार,संस्कृति संस्कार
उसके पहले पचास कुंटल वाली हुई थी तो पचास कुंटल हुआ था क्या,उसके पहले पचास कुंटल वाली हुई थी तो पचास कुंटल हुआ था क्या,उसके पहले पचास कुंटल वाली हुई थी तो पचास कुंटल हुआ था क्या
चकबंदी के नाम पर तुम्हारे तीन जगह जगहै वो एक जगह कर देंगे,चकबंदी के नाम पर तुम्हारे तीन जगह जगहै वो एक जगह कर देंगे,चकबंदी के नाम पर तुम्हारे तीन जगहजगह वो एक जगह कर देंगे
इसके अलावाा बताओ मित्रचरा कायदे से सोचना,इसके अलावाा बताओ मित्रचरा कायदे से सोचना,इसके अलावा बताओ मित्रचरा कायदे से सोचना
वायु दिन में इक्कीस हजार बार स्वांस लेते हैं अगनी सूरज की रोशनी का कारोबार सारा कारोबार सूरज की रोशनी से चल रहा है पानी की बदौलत कुछो पानी जिंदगानी है सब्चीए कहानी है,वायु दिन में इक्कीस हजार बार स्वांस लेते हैं अगनी सूरज की रोशनी का कारोबार सारा कारोबार सूरज की रोशनी से चल रहा है पानी की बदौलत कुछो पानी जिंदगानी है सब्चीए कहानी है,वायु दिन में इक्कीस हजार बार स्वांस लेते हैं अगनी सूरज की रोशनी का कारोबार सारा कारोबार सूरज की रोशनी से चल रहा है पानी की बदौलत कुछो पानी जिंदगानी है सब्ची कहानी है
