Ourmodel,Hypothesis,Predictions,Filename
ज्यादा है,ज्यादा है,ज़्यादा हैं,0520112024_0019_chunk_048
अगर हम सिर्फ डिलीवरी वॉल रखें और सक्शन वॉल को हटा दें तो दबाने पर हवा यहां से ही बाहर निकल जाएगा,अगर हम सिर्फ डिलीवरी वॉल रखें और सक्शन वॉल को हटा दें तो दबाने पर हवा यहां से ही बाहर निकल जाएगा,अगर हम सिर्फ डेलेवरी वाल रखे और सेक्शन वाल को हटा दें तो दबाने पर हवा यहां से ही बाहर निकल जाएगा,0520112024_0019_chunk_049
और बलून फूल नहीं पाएगा इसका उल्टा अगर हम डिलीवरी वॉल को हटा दें और सिर्फ सक्शन वाल रखें तो दवाने पर हवा,और बलून फूल नहीं पाएगा इसका उल्टा अगर हम डिलीवरी वॉल को हटा दें और सिर्फ सक्शन वाल रखें तो दवाने पर हवा,और बलून फूल नहीं पाएगा इसका उल्टा अगर हम डिलिवरी वाल्व को हटा दें और सिर्फ सेक्शन वाल्व रखें तो दवाने पर हवा,0520112024_0019_chunk_050
अब बलून में तो चले जाएगा लेकिन छोड़ने पर वही हवा वापस ट्यूब में आ जाएगा,अब बलून में तो चले जाएगा लेकिन छोड़ने पर वही हवा वापस ट्यूब में आ जाएगा,अब बलून में तो चले जाएगा लेकिन छोड़ने पर वही हवा वापस ट्यूब में आ जाएगा,0520112024_0019_chunk_051
तो हमारे इस पंप में दो वॉल् जरूरी है,तो हमारे इस पंप में दो वॉल् जरूरी है,तो हमारे इस पंप में दो वॉल्व जरूरी है,0520112024_0019_chunk_052
हमारे आसपास कई सारे पंप्स है हैंड पंप्  साइकिल पंप वाटर पंप कूलर पंप लेकिन एक पंप ऐसा है जिसके बिना हम,हमारे आसपास कई सारे पंप्स है हैंड पंप्  साइकिल पंप वाटर पंप कूलर पंप लेकिन एक पंप ऐसा है जिसके बिना हम,हमारे आस पास कई सारे पंप्स हैं हैंड पंप या साइकल पंप वाटर पंप कुलर पंप लेकिन एक पंप ऐसा है जिसके बिना हम,0520112024_0019_chunk_053
जी ही नहीं सकते और वो है हमारा ऋृतय,जी ही नहीं सकते और वो है हमारा ऋृतय,जी ही नहीं सकते और वो है हमारा ऋत्रेय,0520112024_0019_chunk_054
हमारे शरीर में सेल्स या कोशिकाओं को ऊर्जा बनाने के लिए ऑक्सीजन की जरूरत पड़ती हैऊर्जा बनाने के बाद,हमारे शरीर में सेल्स या कोशिकाओं को ऊर्जा बनाने के लिए ऑक्सीजन की जरूरत पड़ती हैऊर्जा बनाने के बाद,हमारे शरीर में सेल्स या कोशिकाओं को ऊर्जा बनाने के लिए ऑक्सीजन की जरूरत पड़ती है ऊर्जा बनाने के बाद,0520112024_0019_chunk_055
ये कार्बन डाइयऑक्साइड रिलीज करती है,ये कार्बन डाइयऑक्साइड रिलीज करती है,यह कार्बन डाइऑक्साइड रिलीज करती है,0520112024_0019_chunk_056
सेलस तक ऑक्सीजन देने का काम और उनसे कार्बन डाइयऑक्साइड लेने का काम खून करता है,सेलस तक ऑक्सीजन देने का काम और उनसे कार्बन डाइयऑक्साइड लेने का काम खून करता है,सेल्स तक ऑक्सीजन देने का काम और उनसे कार्बन डाइऑक्साइड लेने का काम खून करता है,0520112024_0019_chunk_057
लेकिन ऑक्सीजन तो लंग्स या फेफड़ों में मिलता है तो खून को लंग्स के पास ऑक्सीजन लेने के लिए हमारा,लेकिन ऑक्सीजन तो लंग्स या फेफड़ों में मिलता है तो खून को लंग्स के पास ऑक्सीजन लेने के लिए हमारा,लेकिन ऑक्सीजन तो लंग्स या फेफ़ड़ों में ही मिलता है तो खून को लंग्स के पास ऑक्सीजन लेने के लिए हमारा,0520112024_0019_chunk_058
हृृदय भेजता है और लंग्स में जब खून ऑक्सीजन से युक्त हो जाता है तो इसे पूरे सेल्स के पास,हृृदय भेजता है और लंग्स में जब खून ऑक्सीजन से युक्त हो जाता है तो इसे पूरे सेल्स के पास,हृदय भेजता है और लंग्स में जब खून ऑक्सीजन से युक्त हो जाता है तो इसे पूरे सेल्स के पास,0520112024_0019_chunk_059
खून लंग्स तक भेजता है और लंग से ऑक्सीजन युक्त खून पूरी बॉडी तक हमारे हऋदय के दो सेक्शन हैं एक दाया,खून लंग्स तक भेजता है और लंग से ऑक्सीजन युक्त खून पूरी बॉडी तक हमारे हऋदय के दो सेक्शन हैं एक दाया,खून लंग्स तक भेजता है और लंग्स से ऑक्सीजन युक्त खून पूरी बॉडी तक हमारे हृदय के दो सेक्शन हैं एक दाया,0520112024_0019_chunk_061
और एक बाया,और एक बाया,और एक बाय,0520112024_0019_chunk_062
दोनों सेक्शन एक वॉल् जैसा ही काम करता है तो इस वाले सेक्शन में दो वॉल्स है और इस वाले सेक्शन में,दोनों सेक्शन एक वॉल् जैसा ही काम करता है तो इस वाले सेक्शन में दो वॉल्स है और इस वाले सेक्शन में,दोनों सेक्शन एक वॉल जैसा ही काम करता है तो इस वाले सेक्शन में दो वॉल्स हैं और इस वाले सेक्शन में,0520112024_0019_chunk_063
दोबा इसलिए हमारे ऋृदय में टोटल चार वोल्स है दाए वाले सेक्शन में पूरे बॉडी का सीओ टू वाला  फून,दोबा इसलिए हमारे ऋृदय में टोटल चार वोल्स है दाए वाले सेक्शन में पूरे बॉडी का सीओ टू वाला  फून,तो बात इसलिए हमारे हृदय में टोटल चार वॉल्स हैं गाय वाले सेक्शन में पूरे बॉडी का सी ओ टू वाला ऑफिस,0520112024_0019_chunk_064
सक्शन वॉल से होकर अंदर आता है हारट दबकरइस खून को लंग्स के पास भेजता है  लंग्स में खून से,सक्शन वॉल से होकर अंदर आता है हारट दबकरइस खून को लंग्स के पास भेजता है  लंग्स में खून से,सैक्सन वॉल से होकर अंदर आता है हार्ट दबकर इस खून को लंग्स के पास भेजता है लंग्स में खून से,0520112024_0019_chunk_065
कार्बन डायऑक्साइड निकल जाता है और उसमें ऑक्सीजन भर जाता है,कार्बन डायऑक्साइड निकल जाता है और उसमें ऑक्सीजन भर जाता है,कार्बन डाइऑक्साइड निकल जाता है और उसमें ऑक्सीजन भर जाता है,0520112024_0019_chunk_066
फिर ये ऑक्सीजन युक्त खोन बाई वाले सेक्शन में इस सक्शन वॉल से अंदर आ जाता है हाट फिर,फिर ये ऑक्सीजन युक्त खोन बाई वाले सेक्शन में इस सक्शन वॉल से अंदर आ जाता है हाट फिर,फिर ये ऑक्सीजनयुक्त फोन बाई वाले सेक्शन में ही ये सेक्शन वाले से अंदर आ जाता है हार्ट फिर,0520112024_0019_chunk_067
दबकर इसे पूरे बॉडी में पहुंचा देता है,दबकर इसे पूरे बॉडी में पहुंचा देता है,दबकर इसे पूरे बॉडी में पहुंचा देता है,0520112024_0019_chunk_068
ये पूरी प्रक्रिया एक साथ साइड बाई साइड चलती रहती हैबलून पंप के केस में तो दबाने और छोड़ने का काम हमारे,ये पूरी प्रक्रिया एक साथ साइड बाई साइड चलती रहती हैबलून पंप के केस में तो दबाने और छोड़ने का काम हमारे,यह पूरी प्रक्रिया एक साथ साइड बाई साइड चलती रहती है बलून पंप के केस में तो दबाने और छोड़ने का काम हमारे,0520112024_0019_chunk_069
ात करते हैं लेकिन ऋृदय के केस में दबने और छोड़ने का काम हमारे ऋृदय के मसूस करते हैंतो,ात करते हैं लेकिन ऋृदय के केस में दबने और छोड़ने का काम हमारे ऋृदय के मसूस करते हैंतो,हम बात करते हैं लेकिन ऋदायक के कैस में दबने और छोड़ने का काम हमारे ऋदायके महसूस करते हैं तो,0520112024_0019_chunk_070
हमारा दिल ढगदक करता रहे इसलिए हमें रोज कसरत करनी चाहिए और सेहतमंद खाना चाहिए तो एक्ससाइज करते रहे,हमारा दिल ढगदक करता रहे इसलिए हमें रोज कसरत करनी चाहिए और सेहतमंद खाना चाहिए तो एक्ससाइज करते रहे,हमारा दिल ढगता करता रहे इसलिए हमें रोज़ कसरत करनी चाहिए और सेहतमंद खाना चाहिए तो एक्ससाइज करते रहें,0520112024_0019_chunk_071
आपस में रियाप्त होके कारबन डायऑक्साइड और कई गैसेज बनाते हैं और साथ में बहुत सारी एनर्जी भी रिलीज करतें,आपस में रियाप्त होके कारबन डायऑक्साइड और कई गैसेज बनाते हैं और साथ में बहुत सारी एनर्जी भी रिलीज करतें,आपस में रियाफ़ हो के कार्बन डाइऑक्साइड और कई गैसेस बनाते हैं और साथ में बहुत सारी एनर्जी भी रिलीज़ करते हैं,0520112024_0020_chunk_006
हमारे आसपास जो भी चीजें चलती हुई नजर आती है उन सब का कंबैरशन हवा में मौजूद ऑक्सीजन ह,हमारे आसपास जो भी चीजें चलती हुई नजर आती है उन सब का कंबैरशन हवा में मौजूद ऑक्सीजन ह,हमारे आसपास जो भी चीजें चलती हुई नज़र आती है उन सबका कंबेरेशन हवा में मौजूद ऑक्सीजन है,0520112024_0020_chunk_007
इके कारण तापटाकों में भी यही रिएक्शन होती है लेकिन अगर पटाकों का कंबाशन सिर्फ हवा में मिले,इके कारण तापटाकों में भी यही रिएक्शन होती है लेकिन अगर पटाकों का कंबाशन सिर्फ हवा में मिले,इसके कारण ताप टापों में भी यही रिएक्शन होती है लेकिन अगर पटाखों का कम्बाशन सिर्फ हवा में मिले,0520112024_0020_chunk_008
ऑक्सीजंट से होता तो उनका मजा ही चला जाा  जिस तेजी से पटाका फूटता है उसके लिए रिएक्शन तुरंत होना,ऑक्सीजंट से होता तो उनका मजा ही चला जाा  जिस तेजी से पटाका फूटता है उसके लिए रिएक्शन तुरंत होना,ऑक्सीजन से होता तो उनका मजा ही चला जा जिस तेजी से पटाखा फूटता है उसके लिए रिएक्शन तुरंत होना चाहिए,0520112024_0020_chunk_009
जरूरी हऔर बहुत सारा ऑक्सीजन कम समय में मिलना आवश्यक है इसीलिए पटाको में पोटैशियम नाइट्रेट जैसे ऑक्सीडाइजिंग एजेंटस,जरूरी हऔर बहुत सारा ऑक्सीजन कम समय में मिलना आवश्यक है इसीलिए पटाको में पोटैशियम नाइट्रेट जैसे ऑक्सीडाइजिंग एजेंटस,जरूरी है और बहुत सारा ऑक्सीजन कम समय में मिलना आवश्यक है इसलिए पटाखों में पोटेशियम नाइट्रेट जैसे ऑक्सीटाइजिंग एजेंट,0520112024_0020_chunk_010
इसको डाला जातातो हम ऐसा कह सकते हैं कि पटाकों को जलने के लिए हवा में मौजूद ऑक्सीजन क,इसको डाला जातातो हम ऐसा कह सकते हैं कि पटाकों को जलने के लिए हवा में मौजूद ऑक्सीजन क,इसको डाला जाता है तो हम ऐसा कह सकते हैं कि पटाखों को जलाने के लिए हवा में मौजूद ऑक्सीजन,0520112024_0020_chunk_011
उस पटाके को ऊपर की और धक्का देते हैं यहां हम न्यूटिन का थड लॉ देख सकते हैं रॉकेट्स भी इसी तरह अंतरक्,उस पटाके को ऊपर की और धक्का देते हैं यहां हम न्यूटिन का थड लॉ देख सकते हैं रॉकेट्स भी इसी तरह अंतरक्,उस पटाखे को ऊपर की ओर धक्का देते हैं जहाँ हम न्यूट्रीन का थर्ड लॉ देख सकते हैं रॉकेट्स भी इसी तरह अंतरिक्ष,0520112024_0020_chunk_013
कि रॉकेट पे फोर्स सेंटर ऑफ मास पर लगता है और चकरी पर ोर्स सेंटर ऑफ मास की थोड़ी दूर लगता हैऔर,कि रॉकेट पे फोर्स सेंटर ऑफ मास पर लगता है और चकरी पर ोर्स सेंटर ऑफ मास की थोड़ी दूर लगता हैऔर,यह रॉकेट फोर्स सेंटर ऑफ मास्क पर ही लगता है और चकरी पर फोर्स सेंटर ऑफ मास्क ही थोड़ी दूर लगता है,0520112024_0020_chunk_015
टॉलप जनरेट होने के कारण चकरी घूमने लगती है,टॉलप जनरेट होने के कारण चकरी घूमने लगती है,टॉल जनरेट होने के कारण चकरी घूमने लगती है,0520112024_0020_chunk_016
कर पातेकि बहुत सीधे ऊपर चा किसी भी कारण अगर रॉकेट थोड़ा भी डेड़ा मेड़ा हो गयातो व,कर पातेकि बहुत सीधे ऊपर चा किसी भी कारण अगर रॉकेट थोड़ा भी डेड़ा मेड़ा हो गयातो व,कर पाते है की बहुत सीधे ऊपर चा किसी भी कारण अगर रोकेट थोड़ा भी डेढ़ा-वेढ़ा हो गया तो,0520112024_0020_chunk_018
तो किसी अलग दिशा में चला जा सकता है,तो किसी अलग दिशा में चला जा सकता है,तो किसी अलग दिशा में चला जा सकता है,0520112024_0020_chunk_019
रियल रॉकेट्स में भी यही चीज ध्यान में रखनी पड़ती है,रियल रॉकेट्स में भी यही चीज ध्यान में रखनी पड़ती है,रियल रॉकेट्स में भी यही चीज ध्यान में रखनी पड़ती है,0520112024_0020_chunk_020
मै सिंस का काम ये डंडी करती है तो डंडी सिर्फ बॉटल में रखने के लिए नहीं होती है,मै सिंस का काम ये डंडी करती है तो डंडी सिर्फ बॉटल में रखने के लिए नहीं होती है,मेसिन्स का काम ये डंडी करती है तो डंडी सिर्फ बोतल में रखने के लिए नहीं होती है,0520112024_0020_chunk_022
पटाकों को सीधे आसमान में भी लेके जाती है तो डंडी को छोटा करने से रॉकेट की स्टेबलिटी भी कम है,पटाकों को सीधे आसमान में भी लेके जाती है तो डंडी को छोटा करने से रॉकेट की स्टेबलिटी भी कम है,पटाखों को सीधे आसमान में भी लेके जाती है तो डंडी को छोटा करने से रॉकेट की स्टैबलिटी भी कम है,0520112024_0020_chunk_023
एनर्जी एब्जॉर्ब करते हैं तो वो उस लेवल से हायर लर्न पर जा सकते हैं और वापस आने पर लाइट के,एनर्जी एब्जॉर्ब करते हैं तो वो उस लेवल से हायर लर्न पर जा सकते हैं और वापस आने पर लाइट के,एनर्जी एब्जॉर्ब करते हैं तो वो उस लेवल से हायर लर्न पर जा सकते हैं और वापस आने पर लाइट के,0520112024_0020_chunk_025
इसफॉर्म में एनर्जी रिलीज करतके ह एलिमेंट्स की सिर्फ सलाइड को देखकर हम उन्हें पहचान सकते हैं इस तकनीक को स्पेक्टरस को,इसफॉर्म में एनर्जी रिलीज करतके ह एलिमेंट्स की सिर्फ सलाइड को देखकर हम उन्हें पहचान सकते हैं इस तकनीक को स्पेक्टरस को,इस फॉम में एनर्जी रिलीज़ करते के एलीमेंट्स की सिर्फ स्लाइड को देख कर हम उन्हें पहचान सकते हैं इस तकनीक को स्पेक्ट्रस को,0520112024_0020_chunk_026
और कैमिस्ट्री में किए गए फ्लेमट्स भी इसी सिद्धांत पर काम करते ह मेटल् की रोशनी हम आसा ह,और कैमिस्ट्री में किए गए फ्लेमट्स भी इसी सिद्धांत पर काम करते ह मेटल् की रोशनी हम आसा ह,और केमिस्ट्री में किए गए फ्लेमट्स भी इसी सिद्धांत पर काम करते हैं मेटल की रोशनी हम आज से,0520112024_0020_chunk_027
इसे देख पाते जैसे बेरियम का ग्रीन रंग सोडियम का येलो रंग कैल्शियम का ऑरेंज रंग और पोटैशियम का वायलेट रंग,इसे देख पाते जैसे बेरियम का ग्रीन रंग सोडियम का येलो रंग कैल्शियम का ऑरेंज रंग और पोटैशियम का वायलेट रंग,इसे देख पाते जैसे बैरियम का ग्रीन रंग सोडियम का येलो रंग कैल्शियम का ऑरेंज रंग और पोटैशियम का वायलेट रंग,0520112024_0020_chunk_028
इसलिए रंगबिरंगी पटाको में अलग<unk>अलग मेडल सॉर्स को डाला जाता ह,इसलिए रंगबिरंगी पटाको में अलग<unk>अलग मेडल सॉर्स को डाला जाता ह,इसलिए रंगबिरंगी पटाखों में अलगअलग मेडल सॉर्स को डाला जाता है,0520112024_0020_chunk_029
आवाज इस सूथली बाम का होताै क्योंकि सूथली को कसके बांदा जाता है,आवाज इस सूथली बाम का होताै क्योंकि सूथली को कसके बांदा जाता है,आवाज सूतली बाम का होता है क्योंकि सूतली को कसके बाँधा जाता है,0520112024_0020_chunk_038
यही सूतलि अगर हल्के से बांध है तो इतनी आवाज नहीं आती,यही सूतलि अगर हल्के से बांध है तो इतनी आवाज नहीं आती,यही सूतली अगर हल्के से बांध हैं तो इतनी आवाज नहीं आती,0520112024_0020_chunk_039
तो हम ये कह सकते हैं कि जितना टाइट पटाके को हम बातेंगे उतना बड़ा धमाका होगा,तो हम ये कह सकते हैं कि जितना टाइट पटाके को हम बातेंगे उतना बड़ा धमाका होगा,तो हम ये कह सकते हैं कि जितना टाइट फटाके को हम बातेंगे उतना बड़ा धमाका होगा,0520112024_0020_chunk_040
आपका गोमा क्याहै,आपका गोमा क्याहै,आपका गुमा क्या है,0520112024_0021_chunk_004
हर रविवार ढाई बजे,हर रविवार ढाई बजे,हर रविवार ढाई बजे,0520112024_0021_chunk_005
नए नए आप नमूने,नए नए आप नमूने,नए नए आप नमूने,0520112024_0021_chunk_006
जिंदगी में गणित विज्ञान का टेस्टी तड़का,जिंदगी में गणित विज्ञान का टेस्टी तड़का,जिंदगी में गणित विज्ञान का टेस्टी तड़का,0520112024_0021_chunk_007
हाए मैहो सरीता आज हम प्रेशर से जुड़ी कुछ एक्टिविटीज करेंगे और बोटल्स और कैंस को बिना छुए पिछका देंगे,हाए मैहो सरीता आज हम प्रेशर से जुड़ी कुछ एक्टिविटीज करेंगे और बोटल्स और कैंस को बिना छुए पिछका देंगे,हाए मैमो सरिस्का आज हम प्रेशर से जुड़ी कुछ एक्टिविटीज करेंगे और बॉटल्स और कैंस को बिना छुए पिचका देंगे,0520112024_0022_chunk_001
उल्टा कर दें तो पूरा पानी बाहर आ जाता है,उल्टा कर दें तो पूरा पानी बाहर आ जाता है,उल्टा कर दें तो पूरा पानी बाहर आ जाता है,0520112024_0022_chunk_003
ज्यादा मजा नहीं आएअब बोटल के ढक्कन पर एक छेद करके इस बोटल पर लगा देते हैं,ज्यादा मजा नहीं आएअब बोटल के ढक्कन पर एक छेद करके इस बोटल पर लगा देते हैं,ज़्यादा मज़ा नहीं आए अब बोटल के ढक्कन पर एक छेद करके इस बोटल पर लगा देते हैं,0520112024_0022_chunk_005
और फिर से बोटर को पानी से भरकर उल्टा करके दिखते हैं छेत खुला होने के बाद भी पानीबा हर है,और फिर से बोटर को पानी से भरकर उल्टा करके दिखते हैं छेत खुला होने के बाद भी पानीबा हर है,और फिर से बोटर को पानी से भर कर उल्टा करके दिखते हैं छेद खुला होने के बाद भी पानी बाहर है,0520112024_0022_chunk_006
ीआयाये टुत्पी डालकर भी हम देख सकते हैं कि कछेत खुला ह ोटोथिक बड़े आराम से अंदर,ीआयाये टुत्पी डालकर भी हम देख सकते हैं कि कछेत खुला ह ोटोथिक बड़े आराम से अंदर,ठीक है या ये तुतपी डाल कर भी हम देख सकते हैं कि छेद खुला है और होटो थिए बड़े आराम से अंदर,0520112024_0022_chunk_007
पानी बाहर इसलिए नहीं आया क्योंकि जब क्छेत छोटा है तो सर्फेस टेंशन पानी को बाहर नी हा,पानी बाहर इसलिए नहीं आया क्योंकि जब क्छेत छोटा है तो सर्फेस टेंशन पानी को बाहर नी हा,पानी बाहर इसलिए नहीं आया क्योंकि जब छेद छोटा है तो सर फेस टेंशन पानी को बाहर नहीं आया,0520112024_0022_chunk_008
दासरफेस सेंट्रन को हम पानी के सर्फेस फे जिल्ली के जैसे सोच सकते हैं इसी के कारण मच्छ,दासरफेस सेंट्रन को हम पानी के सर्फेस फे जिल्ली के जैसे सोच सकते हैं इसी के कारण मच्छ,सर फेस सेंटर्न को हम पानी के सर फेस फेस झिल्ली के जैसे सोच सकते हैं इसी के कारण अच्छा,0520112024_0022_chunk_009
दूसरे सिरे को नीचे डालेंगे बोटर से पानी निकलना स्टार्ट हो जाता है,दूसरे सिरे को नीचे डालेंगे बोटर से पानी निकलना स्टार्ट हो जाता है,दूसरे सिरे को नीचे डालेंगे बोटर से पानी निकलना स्टार्ट हो जाता है,0520112024_0022_chunk_013
और बोटन,और बोटन,और वोटर,0520112024_0022_chunk_014
धीरेधीरे पिचकने लगती है,धीरेधीरे पिचकने लगती है,धीरेधीरे पिचकने लगती है,0520112024_0022_chunk_015
तो जैसे जैसे ऊपर जाते जाएंगे प्रेशर कम होता जाएगा,तो जैसे जैसे ऊपर जाते जाएंगे प्रेशर कम होता जाएगा,तो जैसे-जैसे ऊपर जाते जाएंगे प्रेशर कम होता जाएगा,0520112024_0022_chunk_017
तो जितना लंबा पाइप अटैच करेंगे उतना प्रेशर कम होता जाएगा,तो जितना लंबा पाइप अटैच करेंगे उतना प्रेशर कम होता जाएगा,तो जितना लंबा पाइप अटैच करेंगे उतना प्रेशर कम होता जाएगा,0520112024_0022_chunk_019
तो बोटल के अंदर का प्रेशर कम हो गया लेकिन बाहर एटमोसफयरिक प्रेशर उतना ही है इसलिए बोटल पर बाहर,तो बोटल के अंदर का प्रेशर कम हो गया लेकिन बाहर एटमोसफयरिक प्रेशर उतना ही है इसलिए बोटल पर बाहर,तो बोटल के अंदर का प्रेशर कम हो गया लेकिन बाहर एटमोसफ़ेरिक प्रेशर उतना ही है इसलिए बोटल पर बाहर,0520112024_0022_chunk_020
से नेट फोर्स लगता है,से नेट फोर्स लगता है,जैसे नेटफोर्स लगता है,0520112024_0022_chunk_021
हॉस्पिटल्स में पेशेंट्स को ग्लूकोस की बोटल चड़ाते हुए भी मोटल ऐसी पिचक जाती है पिचकने से बचाने के लिए,हॉस्पिटल्स में पेशेंट्स को ग्लूकोस की बोटल चड़ाते हुए भी मोटल ऐसी पिचक जाती है पिचकने से बचाने के लिए,हॉस्पिटल्स में पेसेंट्स को ग्लूकोस की बोटल चढ़ाते हुए भी मोटल ऐसे पिचक जाती है पिचकने से बचाने के लिए,0520112024_0022_chunk_023
बोटल के ऊपर सुईसे एक छेद कर देते हैं ताकि वहां भी प्रेशर एटमोस्फयरिक प्रेशर के बराबर रहे,बोटल के ऊपर सुईसे एक छेद कर देते हैं ताकि वहां भी प्रेशर एटमोस्फयरिक प्रेशर के बराबर रहे,बोटल के ऊपर सुई से एक छेद कर देते है ताकि वहां भी प्रेशर एटमोस्फेरिक प्रेशर के बराबर रहे,0520112024_0022_chunk_024
बोटल न पिचके,बोटल न पिचके,पोर्टल मैम अच्छा,0520112024_0022_chunk_025
पाइप कनेक्ट करने से प्रेशर कितना कम हुआ ये हम इस प्रेशर गेस से भी देख सकतेहं,पाइप कनेक्ट करने से प्रेशर कितना कम हुआ ये हम इस प्रेशर गेस से भी देख सकतेहं,पाइप कनेक्ट करने से प्रेशर कितना कम हुआ ये हम इस प्रेशर गेट से भी देख सकते हैं,0520112024_0022_chunk_026
गेज पर नंबर्स ये दिखा रहे हैं कि प्रेशर एटमोस्रिक प्रेशर से कितना कम है मतलब प्रेशर जैसे जैसे,गेज पर नंबर्स ये दिखा रहे हैं कि प्रेशर एटमोस्रिक प्रेशर से कितना कम है मतलब प्रेशर जैसे जैसे,गेज पर नंबर्स ये दिखा रहे है कि प्रेशर एटमोस्टिक प्रेशर से कितना कम है मतलब प्रेशर जैसे-जैसे,0520112024_0022_chunk_027
कम होता जाएगा इस गेज की रिडिंग बढ़ती जाएगी गेज के साथ ही पाइप अटैच करके अगर एक सिराम जमीन,कम होता जाएगा इस गेज की रिडिंग बढ़ती जाएगी गेज के साथ ही पाइप अटैच करके अगर एक सिराम जमीन,कम होता जाएगा इस गेज की रीडिंग बढ़ती जाएगी गेज के साथ ही पाइप अटैच करके अगर एक शिराम ज़मीन,0520112024_0022_chunk_028
पर छोड़ दें और इसको लेकर सीडिया चढ़ते जाए तो परेशन कम होता जाएगा चलिए सीढियों के पास चलते हैं,पर छोड़ दें और इसको लेकर सीडिया चढ़ते जाए तो परेशन कम होता जाएगा चलिए सीढियों के पास चलते हैं,पर छोड़ दें और इसको लेकर सीढ़ियाँ चढ़ते जाए तो परेशन कम होता जाएगा चलिए सीढ़ियों के पास चलते हैं,0520112024_0022_chunk_029
थोड़ी ओर लंबी पाइप ले लें तो हम मेटल की चीजों को भी आराम से पिचका सकते हैं,थोड़ी ओर लंबी पाइप ले लें तो हम मेटल की चीजों को भी आराम से पिचका सकते हैं,थोड़ी और लंबी पाइप ले लें तो हम मेटल की चीज़ों को भी आराम से पिचका सकते हैं,0520112024_0022_chunk_031
,,,0520112024_0022_chunk_038
अब जैसे ही पानी उबलने लगे और भाब ऊपर आने लगे,अब जैसे ही पानी उबलने लगे और भाब ऊपर आने लगे,अब जैसे ही पानी उबलने लगी ओर बांध उपर आने लगे,0520112024_0022_chunk_039
कैन को पकड़ कर,कैन को पकड़ कर,कैन को पकड़ कर,0520112024_0022_chunk_040
शुरू में कैन के अंदर और बाहर बराबर प्रेशर है पानी को गरम करने पर वो उस टीम में बदल जाता है,शुरू में कैन के अंदर और बाहर बराबर प्रेशर है पानी को गरम करने पर वो उस टीम में बदल जाता है,शुरू में केन के अंदर और बाहर बराबर प्रेशर है पानी को गर्म करने पर वो उस टीम में बदल जाता है,0520112024_0022_chunk_043
तो कैन पूरा स्टीम से भर जाता है और उसके अंदर की हवा बाहर निकल जाती है,तो कैन पूरा स्टीम से भर जाता है और उसके अंदर की हवा बाहर निकल जाती है,तो कैन पूरा स्टीम से भर जाता है और उसके अंदर की हवा बाहर निकल जाती है,0520112024_0022_chunk_044
अब इस भाव से भरे हुए कैन को जब हम थंडे पानी में डालते हैं तो वो स्टीम फिर से लिक्वि,अब इस भाव से भरे हुए कैन को जब हम थंडे पानी में डालते हैं तो वो स्टीम फिर से लिक्वि,अब इस भाव से भरे हुए कैन को जब हम ठंडे पानी में डालते हैं तो वो स्ट्रीम फिर से लिक्वी,0520112024_0022_chunk_045
और बाहर के एटमॉस्फयरिक प्रेशर की वजह से कैन पिचक जाता है अगर कैन को सीधा पानी में डालेंगे त,और बाहर के एटमॉस्फयरिक प्रेशर की वजह से कैन पिचक जाता है अगर कैन को सीधा पानी में डालेंगे त,और बाहर के एटमोस्फ़ेरिक प्रेशर की वजह से कैन पिचक जाता है अगर कैन को सीधा पानी में डालेंगे तो,0520112024_0022_chunk_047
नहीं साइंस और एय प्रशसी पीछ काए थैंक्यू,नहीं साइंस और एय प्रशसी पीछ काए थैंक्यू,नहीं साइंस और एक्सेसिपिस्ट है थैंक यू,0520112024_0022_chunk_050
