Hypothesis,Ground Truth,Response
ये तो हुआ,ये तो हुआ,ये तो हुआ।
शहरों के स्कूल के अच्छे बात और गाँव के स्कूल की कमियाँ अगर इसका विपरीत सोचा जाए,शहरों के स्कूल के अच्छे बात और गाँवों के स्कूल की कमियाँ अगर इसका विपरीत सोचा जाए,शहरों के स्कूल की अच्छी बातें और गाँव के स्कूल की कमियाँ अगर इसका विपरीत सोचा जाए।
मेरा पसंदीदा गाना जो मैं हमेशा गुनगुनाती रहती हूँ वो है किशोर कुमार जी का वो मेरे दिल के चैन,मेरा पसंदीदा गाना जो मैं हमेशा गुनगुनाती रहती हूँ वो है किशोर कुमार जी का ओ मेरे दिल के चैन,"मेारा पसंदीदा गाना जो मैं हमेशा गुनगुनाती रहती हूँ, वो है किशोर कुमार जी का ""मेरे दिल के चैन""।"
जी हाँ मैं यह ज़रूर मानती हूँ कि हमारे पूर्वजों की पीढ़ी हमसे और आजकल की नई पीढ़ी से बहुत ज़्यादा धार्मिक थी,जी हाँ मैं यह ज़रूरी मानती हूँ कि हमारे पूर्वजों की पीढ़ी हम से और आजकल की नई पीढ़ी से बहुत ज़्यादा धार्मिक थी,"जी हाँ, मैं यह ज़रूर मानती हूँ कि हमारे पूर्वजों की पीढ़ी हमसे और आजकल की नई पीढ़ी से बहुत ज़्यादा धार्मिक थी।"
हम मान सकते हैं जिससे हम मान सकते हैं कि हमारी पुरानी पीढ़ी बहुत ही ज़्यादा हमसे धार्मिक थी और शायद इसी वजह से उनके उनका समाज ज़्यादा,हम मान सकते हैं जिसे हम मान सकते हैं कि हमारी पुरानी पीढ़ी बहुत ही ज़्यादा हमसे धार्मिक थी और शायद इसी वजह से उनका समाज ज़्यादा,हम मान सकते हैं कि हमारी पुरानी पीढ़ी बहुत ही ज़्यादा धार्मिक थी और शायद इसी वजह से उनका समाज ज़्यादा प्रगतिशील नहीं था।
वेल फंक्शनल था जहाँ पर अपराध का प्रमाण भी बहुत कम थे,वेल फंगशनल था जहाँ पर अपराध का प्रमाण भी बहुत कम थे,वेल फंक्शनल था जहाँ पर अपराध का प्रमाण भी बहुत कम था।
धार्मिक आचरण और धार्मिक आचार जो हम बोलते हैं वो सच्ची में उनके लिए सही मायने में वे ऑफ लाइफ था,धार्मिक आचरण और धार्मिक आचार जो हम बोलते हैं वो सच्ची में उनके लिए सही मायने में वे ऑफ़ लाइफ था,"धार्मिक आचरण और धार्मिक आचार जो हम बोलते हैं, वो सच में उनके लिए सही मायने में एक जीवनशैली थी।"
उनका जीवन क्रम उठने से लेकर सोने तक का हर एक चीज़ वो,उनका जीवन क्रम उठने से ले कर सोने तक का हर एक चीज़ वो,उनका जीवन क्रम उठने से लेकर सोने तक की हर एक चीज़ वो
धार्मिक रूप से किया करते थे आजकल तो बहुत सारे बदलाव आ गए हैं एक बदलाव जो म मैं हर रोज़ महसूस करती हूँ,धार्मिक रूप से किया करते थे आजकल तो बहुत सारे बदलाव आ गए हैं एक बदलाव जो मैं मैं हर रोज़ महसूस करती हूँ,धार्मिक रूप से करते थे। आजकल तो बहुत सारे बदलाव आ गए हैं। एक बदलाव जो मैं हर रोज़ महसूस करती हूँ।
बहुत ज़्यादा देखती हूँ अपने आस पास वो है कि पहले के लोग जो मानते थे कि जब सूर्य भगवान आ रहे हैं तब सोया ना करे य काश हम से बहुत कम लोग ही उसका आचरण अब कर पा रहे हैं,बहुत ज़्यादा देखती हूँ अपने आस पास वो है कि पहले के लोग जो मानते थे कि जब सूर्य भगवान आ रहे हैं तब सोया ना करें यह काश हम में से बहुत कम लोग ही उसका आचरण अब कर पा रहे हैं,"बहुत ज़्यादा देखती हूँ अपने आस-पास। वो है कि पहले के लोग मानते थे कि जब सूर्य भगवान आ रहे हैं, तब सोया नहीं करना चाहिए। काश, हम में से बहुत कम लोग ही उसका आचरण अब कर पा रहे हैं।"
दूसरा ये है कि अतिथि देवो भवा,दूसरा ये है कि अतिथि देवो भवः,दूसरा यह है कि अतithi देवो भव।
जब तक य यहाँ तक के मेरी दादी माँ भी जब तक वो किसी,जब तक यहाँ तक की मेरी दादी माँ भी जब तक वो किसी,जब तक यहाँ मेरी दादी माँ भी हैं।
अतिथी को किसी गेस्ट को खाना नहीं खिलाती तब तक वो खाती नहीं थी जब तक अतिथी का दो और एक काऊ को एक गाय को खाना खिलाओ उसके बाद ही वो खाना खाती थी आजकल हम ये परंपरा भी बहुत कम ही देख रहे हैं खास कर के शहरों में,अतिथि को किसी गेस्ट को खाना नहीं खिलाती तब तक वो खाती नहीं थी जब तक अतिथि का दो और एक काऊ को एक गाय को खाना खिलाओ उसके बाद ही वो खाना खाती थी आजकल हम ये परम्परा भी बहुत कम ही देख रहे हैं खासकर के शहरों में,"अतिथि किसी गेस्ट को खाना नहीं खिलाती, तब तक वह खुद नहीं खाती थी, जब तक अतिथि दोस और एक गाय को खाना नहीं खिलाते। उसके बाद ही वह खाना खाती थी। आजकल हम यह परंपरा भी बहुत कम ही देख रहे हैं, खासकर के शहरों में।"
आज,हाँ,आज
ऐसे बहुत सारी चीज़ें हैं जो,ऐसे बहुत सारी चीज़ें हैं जो,ऐसी बहुत सारी चीज़ें हैं जो
वो आखिरी बार दो हज़ार दस में अपने पति महेश के साथ इस शो में आई थी,वो आखिरी बार दो हज़ार दस में अपने पति महेश के साथ इस शो में आई थीं,वो आखिरी बार दो हजार दस में अपने पति महेश के साथ इस शो में आई थी।
छ मई उन्नीस सौ चौंसठ को जन्म बिंदुदारा सिंह एक भारतीय फ़िल्म और टेलीविजन अभिनेता है,छे मई उन्नीस सौ चौंसठ को जन्में बिंदु दारा सिंह एक भारतीय फ़्लिम और टेलीविजन अभिनेता हैं,छ मई उन्नीस सौ चौसठ को जन्म बिंदुदारा सिंह एक भारतीय फ़िल्म और टेलीविजन अभिनेता हैं।
क्या कोई भी हाल ही में ईमेल है,क्या कोई भी हाल ही में ईमेल है,क्या किसी ने हाल ही में ईमेल किया है?
भारत में आज हो रहे परिवर्तन क्या है,भारत में आज हो रहे परिवर्तन क्या हैं,भारत में आज हो रहे परिवर्तन क्या हैं?
क्या अगरबत्तियाँ किसी अन्य ब्रांड में उपलब्ध है,क्या अगरबत्तियाँ किसी अन्य ब्रांड में उपलब्ध हैं,क्या अगरबत्तियाँ किसी अन्य ब्रांड में उपलब्ध हैं?
फ्रेशो चुकंदर और बोर्जेस कैनोला ऑइल दिए गए मेरे उत्पादों की डिलीवरी समय से दो घंटे देर से आए हैं,फ़्रेशो चुकंदर और बोर्जेस कैनोला ऑयल दिए गए मेरे उत्पादों की डिलीवरी समय से दो घंटे देर से आए हैं,फ्रेश चुकंदर और बोरजेस कैनोला ऑइल दिए गए मेरे उत्पादों की डिलीवरी समय से दो घंटे देर से आई है।
मेरे बैंक ऑफ़ बड़ौदा बैंक खाते में कितने पैसे हैं,मेरे बैंक ऑफ़ बड़ौदा बैंक खाते में कितने पैसे हैं,मेरे बैंक ऑफ़ बड़ौदा के खाते में कितने पैसे हैं
यू पी आई आई डी छः शून्य नौ नौ सात चार छः दो चार तीन दो एट द रेट एक्सिस को ब्लॉक करें,यू पी आई आई डी छे शून्य नौ नौ सात चार छे दो चार तीन दो एट द रेट एक्सिस को ब्लॉक करें,यूपीआईआईडी 6099074632 एक्सिस को ब्लॉक करें
पिनकोड दो तीन दो चार शून्य आठ में मुझे स्पुतनिक टीका कहाँ मिल सकता है,पिन कोड दो तीन दो चार शून्य आठ में मुझे स्पुतनिक टीका कहाँ मिल सकता है,पिनकोड 232048 में मुझे स्पुतनिक टीका कहाँ मिल सकता है
क्या आप राज्य उत्तर प्रदेश में केंद्र प्रकार रीजनल ऑफीिस वाले ई एस आई सी केंद्रों के ढूँढने में मदद कर सकते हैं,क्या आप राज्य उत्तर प्रदेश में केंद्र प्रकार रीज़नल ऑफ़िस वाले ईएसआईसी केंद्रों के ढूंढ़ने में मदद कर सकते हैं,क्या आप राज्य उत्तर प्रदेश में केंद्र प्रकार के रीजनल ऑफिस वाले ईएसआईसी केंद्रों को ढूँढने में मदद कर सकते हैं?
चार,चार,चार
पलंग,पलंग,पलंग
सात जुलाई उन्नीस सौ चौरानवे तीस क्टूबर उन्नीस सौ नवासी उन्तीस डिसम्बर दो हज़ार तीन,सात जुलाई उन्नीस सौ चौरानवे तीस अक्टूबर उन्नीस सौ नवासी उन्तीस दिसम्बर दो हज़ार तीन,"सात जुलाई उन्नीस सौ चौरानवे, तीस अक्टूबर उन्नीस सौ नवासी, उन्तीस दिसंबर दो हजार तीन"
बीस ऑक्टोबर दो हज़ार अ्ठारह,बीस अक्टूबर दो हज़ार अठरह,बीस अक्टूबर दो हजार अठारह
आठ जुलाई,आठ जुलाई,आठ जुलाई
दो हज़ार तेईस,दो हज़ार तेईस,दो हजार तेईस
दार्जिलिंग कालपो अलीपुरद्वार कुचबिहार जलपईगुड़ी,दार्जिलिंग कैलिम्पोंग अलीपुरद्वार कूचबिहार जलपाईगुड़ी,"दार्जिलिंग, कालिम्पोंग, अलीपुरद्वार, कुचबिहार, जलपाईगुड़ी"
मेरा फेवरेट सीज़न,मेरा फ़ेवरेट सीज़न,मेरा पसंदीदा सीज़न
जैसे कि मार्च अप्रैल है क्योंकि उस समय ज़्यादा बारिश भी नहीं होती और उतना गर्मी भी नहीं उतना ठंडी भी नहीं होती इसलिए,जैसे की मार्च अप्रैल है क्योंकि उस समय ज़्यादा बारिश भी नहीं होती और उतना गर्मी भी नहीं उतना ठंडी भी नहीं होती इसलिए,"जैसे कि मार्च और अप्रैल हैं, क्योंकि उस समय ज़्यादा बारिश नहीं होती और न ही उतनी गर्मी होती है और न ही इतनी ठंड।"
मेरे को य मौसम पसंद है उसी मौसम में फूुल खिलते हैं और घूमने जाने के लिए भी यह मौसम अच्छा होता है इसलिए,मेरे को ये मौसम पसंद है उसी मौसम में फूल खिलते हैं और घूमने जाने के लिए भी ये मौसम अच्छा होता है इसीलिए,"मुझे यह मौसम पसंद है। इसी मौसम में फूल खिलते हैं और घूमने जाने के लिए भी यह मौसम अच्छा होता है, इसलिए।"
मुझे य मौसम पसंद है क्योंकि अगर हम इस मौसम में घूमने निकलेंगे तो,मुझे ये मौसम पसंद है क्योंकि अगर हम इस मौसम में घूमने निकलेंगे तो,मुझे यह मौसम पसंद है क्योंकि अगर हम इस मौसम में घूमने निकलेंगे तो
बारिश नहीं होगा सब क्लियर्स का ही होगा चारों तरफ़ हम जो चीज़ देखना चाहते हैं तो देख सकते हैं आराम से,बारिश नहीं होगा सब क्लियर स्काई होगा चारों तरफ हम जो चीज़ देखना चाहते हैं तो वो देख सकते हैं आराम से,"बारिश नहीं होगी, सब क्लियर होगा। चारों तरफ हम जो चीज़ देखना चाहते हैं, उसे आराम से देख सकते हैं।"
बारिश के मौसम में वो फौगा के जो हम कुछ देख नहीं पाते वो मार्च अप्रैल के टाइम पर हम लोगों को अच्छे से दिखाई देता है और इसीलिए,बारिश के मौसम में वो फोगा के जो हम कुछ देख नहीं पाते वो मार्च अप्रैल के टाइम पर हम लोगों को अच्छे से दिखाई देता है और इसीलिए,"बारिश के मौसम में जो फॉग होता है, वो हम कुछ नहीं देख पाते। लेकिन मार्च- अप्रैल के टाइम पर वो हमें अच्छे से दिखाई देता है, इसलिए।"
टेम्परेचर भी अच्छा होता है उतना गर्मी भी नहीं होता ठंडी भी नहीं होता इसीलिए मेर को मारचपड़ का टाइम पसंद है इसका मदलब है मुझे ऑटम पसंद है,टेम्परेचर भी अच्छा होता है उतना गर्मी भी नहीं होता ठंडी भी नहीं होता इसलिए मेरे को मार्च अप्रैल का टाइम पसंद है इसका मतलब है मुझे ऑटोम पसंद है,"टेम्परेचर भी अच्छा होता है, उतनी गर्मी भी नहीं होती और ठंडी भी नहीं होती। इसीलिए मुझे मार्च का टाइम पसंद है। इसका मतलब है, मुझे ऑटम पसंद है।"
अभी हम लोगों को करेंट सिचुएशन और इंटरेस्टिंग न्यूज़ तो पंचायत इलेक्शन ही है फिर पंचायत इलेक्शन कहाँ कैसे एक तोो सारे मेरी उम्र की सारीे दोस् सुनी वो कैनडििलेट के लिए,अभी हम लोगों को करेंट सिचुएशन और इंटरेस्टिंग न्यूज़ तो पंचायत इलेक्शन में है फिर पंचायत इलेक्शन कहाँ कैसे एक दो सारे मेरे उम्र के सारे दोस्तों ने वो कैंडिडेट,अभी हम लोगों को करेंट सिचुएशन और इंटरेस्टिंग न्यूज़ तो पंचायत चुनाव ही है। फिर पंचायत चुनाव कहाँ और कैसे? एक तो सारे मेरी उम्र की सारी दोस्त सुनी वो कैंडिडेट के लिए।
वो खड़े हो गए बोट के कैनडिडेट के लिए तो मेरे लिए अब इंट्रेस्टिंग न्यूज़ वही है क्योंकि जब दोस्त लोग खड़े होते हैं एज ए कैनडिडेट बहुत अच्छा भी लगता है और जैसे कि थोड़ी,वो खड़े हो गए वोट के कैंडिडेट के लिए तो मेरे लिए अभी इंटरेस्टिंग न्यूज़ वही है क्योंकि जब दोस्त लोग खड़े होते हैं एज़ ए कैंडिडेट बहुत अच्छा भी लगता है और जैसे कि थोड़ी,"वो खड़े हो गए बोट के कैन्डिडेट के लिए, तो मेरे लिए अब इंट्रेस्टिंग न्यूज़ यही है क्योंकि जब दोस्त लोग खड़े होते हैं ऐज ए कैन्डिडेट, बहुत अच्छा भी लगता है और जैसे कि थोड़ी..."
हलबल भी मचे रहती है कि कौन दोस्त जीतेगा कौन जीतेगा और क्या होगा फिर अभी तो रसेंट क्या है कि अभी सारे,खलबली भी मची रहती है कि कौन दोस्त जीतेगा कौन जीतेगा और क्या होगा फिर अभी तो रिसेंट क्या है की अभी सारे,"हलबला भी मचा रहता है कि कौन दोस्त जीतेगा, कौन जीतेगा और क्या होगा। फिर अभी तो रेसेंट क्या है कि अभी सारे..."
जो ग्राम वगैरह है वहाँ पर इलेक्शन के वजह से बहुत ही झगड़े,जो ग्राम वगैरह है वहाँ पर इलेक्शन के वजह से बहुत ही झगड़े,"जो गांव वगैरह है, वहाँ पर चुनाव के कारण बहुत झगड़े हो रहे हैं।"
होो रहे हैं तो वही मेरे लिए एक इंटरेस्टिंग टॉपिक है और इंटरेस्टिंग न्यूज़ है जहाँ मुझे एक के एक को छोड़कर दूसरे,हो रहे हैं तो वही मेरे लिए एक एक इंटरेस्टिंग टॉपिक है और इंटरेस्टिंग न्यूज़ है जहाँ मुझे एक के एक को छोड़ कर दूसरे,हो रहे हैं तो वही मेरे लिए एक दिलचस्प टॉपिक है और दिलचस्प न्यूज़ है जहाँ मुझे एक के बाद एक को छोड़कर दूसरा।
जगह के दूसरे डिस्ट्रिक हो के मतलब हलात चानने को मिल रहे इसल अभी के लिए मेरे पास इनटरेस्टिंग न्यूज़ और इवेंट वही है हम लोको का वेस्ट बंगोल का ग्राहामपंचायत इलेक्शन,जगह के दूसरे डिस्ट्रीकों के मतलब हालात जानने को मिल रहा है इसलिए अभी के लिए मेरे पास इंटरेस्टिंग न्यूज़ और इवेंट वही है हम लोगों का वेस्ट बंगाल का ग्राम पंचायत इलेक्शन,"जगह के दूसरे डिस्ट्रिक्ट का मतलब हालात जानने को मिल रहे हैं। इसलिये, अभी के लिए मेरे पास कुछ दिलचस्प नज़रियां और इवेंट्स हैं। वह है हमारे वेस्ट बंगाल के ग्राम पंचायत चुनाव।"
वैसे तो मुझे अकेला खाना बनाना अच्छा लगता है लेकिन कोई अगर मेरे पास बैठे,वैसे तो मुझे अकेला खाना बनाना अच्छा लगता है लेकिन कोई अगर मेरे पास बैठे,वैसे तो मुझे अकेला खाना बनाना अच्छा लगता है लेकिन अगर कोई मेरे पास बैठे।
चूज़ करना नहीं पड़ता और जगह जाके अपना अपनी बातें रखने का वो,चूज़ करना नहीं पड़ता और जगह जा के अपना अपनी बातें रखने का वो,चुनना नहीं पड़ता और जाकर अपनी बातें रखने का वो
नहीं करना पड़ता दूसरा जगह नहीं ढूँढना पड़ता इसीलिए हम लोग सारे लोग जैसे कि अगर फैमिली,नहीं करना पड़ता दूसरा जगह नहीं ढूंढना पड़ता इसलिए हम लोग सारे लोग जैसे कि अगर फ़ैमिली,"नहीं करना पड़ता, दूसरी जगह नहीं ढूँढना पड़ता। इसीलिए हम लोग, सारे लोग, जैसे कि अगर फैमिली।"
म बातें करना हो और अपना अपना पर्सनल बातें करनी हो पर्सनल थर्ट शेयर करना हो तो तब हम किचन में शेयर करते हैं खाना बनाते हुए,में बातें करना हो और अपना अपना पर्सनल बातें करनी हो पर्सनल थॉट्स शेयर करना हो तो तब हम किचन में ही शेयर करते हैं खाना बनाते हुए,"अगर बातचीत करनी हो और अपनी व्यक्तिगत बातें करनी हों या व्यक्तिगत थॉट्स शेयर करने हों, तो हम किचन में खाना बनाते हुए शेयर करते हैं।"
मैं खाना बनाती हूँ वो बैठते हैं मैं सारा किचन का काम कर लेती हूँ और मैं उनको बिठा कर,मैं खाना बनाती हूँ वो बैठते हैं मैं सारा किचन का काम कर लेती हूँ और मैं उनको बिठा के,"मैं खाना बनाती हूँ, वे बैठते हैं। मैं सारा किचन का काम कर लेती हूँ और मैं उनको बिठा कर।"
मतलब मैं बातें करती हुए काम करूगीे तो वो बैठ के सुनेगे और ऐसा करके हम लोग सारा सारे काम भी कर लेते और बातें भी हो जाती,मतलब मैं बातें करते हुए काम करुँगी तो वो बैठ के सुनेंगे और ऐसा करके हम लोग सारा सारे काम भी कर लेते हैं और बातें भी हो जाती,मतलब मैं बातें करते हुए काम करूंगी तो वो बैठके सुनेंगे और ऐसा करके हम लोग सारे काम भी कर लेते और बातें भी हो जाती।
मतलब हेल्प के लिए नहीं जस्ट बातें करने के लिए अगर बैठे तो वो मुझे अच्छा लगता है,मतलब हेल्प के लिए नहीं जस्ट बातें करने के लिए अगर बैठे किचन तो वो मुझे अच्छा लगता है,"मतलब, हेल्प के लिए नहीं, बस बातें करने के लिए अगर बैठें तो वो मुझे अच्छा लगता है।"
जब मैं घर जाती हूँ मैं घर पर होती हूँ,जब मैं घर जाती हूँ मैं घर पर होती हूँ,"जब मैं घर जाती हूँ, तो मैं घर पर होती हूँ।"
तो मैं क्या करती हूँ सारा किचन का काम मैं खुद ही कर लेती हूँ तो ऐसा होता है कि,तो मैं क्या करती हूँ सारा किचन का काम मैं ख़ुद ही कर लेती हूँ तो ऐसा होता है कि,तो मैं क्या करती हूँ? सारा किचन का काम मैं खुद ही कर लेती हूँ। तो ऐसा होता है कि।
मैं अपने पास में माँ पापा और मेरी बोआ जो हमारे साथ रहती है मैं उनको बिठा कर सिर्फ उनसे बातें करती हूँ मतलब इसीलिए,मैं अपने पास में माँ पापा और मेरी बुआ जो हमारे साथ रहती है मैं उनको बिठा के सिर्फ उनसे बातें करती हूँ मतलब इसीलिए,"मैं अपने पास में माँ, पापा और मेरी बोआ, जो हमारे साथ रहती है, मैं उन्हें बिठा कर सिर्फ उनसे बातें करती हूँ। मतलब, इसीलिए।"
हमारा किचन थोड़ा थोड़ा बड़ा है क्योंकि सारी बातें जो हैं हम लोग अपने अपने रूम में जाकर या,हमारा किचन थोरा थोड़ा बड़ा है क्योंकि सारी बातें जो है हम लोग अपने अपने रूम में जा के या,"हमारा किचन थोड़ा बड़ा है क्योंकि सारी बातें जो हैं, हम लोग अपने-अपने रूम में जाकर करते हैं।"
सिीटिंग हॉल में बैठ के तो नहीं कर सकती इसलिए हमने हमारे घर के किचन को थोड़ा सा बड़़ा रखा हुआ है क्योंकि जो जब किचन में खाना बनाते हुए,सिटिंग हॉल में बैठ के तो नहीं कर सकते इसलिए हमने हमारे घर के किचन को थोड़ा सा बड़ा रखा हुआ है क्योंकि जब जब किचन में खाना बनाते हुए,"सीटिंग हॉल में बैठकर तो नहीं कर सकती, इसलिए हमने अपने घर के किचन को थोड़ा सा बड़ा रखा हुआ है, क्योंकि जब किचन में खाना बनाते हैं..."
खाना खाते हुए किचन का काम करते हुए हम लोग अपनी बातें शेयर कर सकेें इसीलिए क्या है कि जब भी मैं घर जाती हूँ तब सारे लोग सारे काम खत्म करके किचन में आएंगे मैं उनको चाय पानी कुछ दे देती हूँ और मैं अपने काम परे लग जाती हूँ और बातें करते करते अपने सारे बात,खाना खाते हुए किचन का काम करते हुए हम लोग अपनी बातें शेयर कर सकें इसलिए क्या है कि जब भी मैं घर जाती हूँ तब सारे लोग सारे काम ख़त्म करके किचन में आएंगे मैं उनको चाय पानी कुछ दे देती हूँ और मैं अपने काम पे लग जाती हूँ और बातें करते करते अपने सारे बात,"खाना खाते हुए किचन का काम करते हुए हम लोग अपनी बातें शेयर कर सकेें, इसीलिए जब भी मैं घर जाती हूँ, तब सारे लोग सारे काम खत्म करके किचन में आएंगे। मैं उनको चाय-पानी कुछ दे देती हूँ और मैं अपने काम में लग जाती हूँ और बातें करते-करते अपनी सारी बातें शेयर कर लेती हूँ।"
मैं उनसे वही भी कर लेती हूँ और इसकी वजह से मेरे को,मैं उनसे वहीं पे कर लेती हूँ और इसकी वजह से मेरे को,मैं उनसे वही भी कर लेती हूँ और इसकी वजह से मुझे
उनके रूम परे जाके आप प्राइवेट बातेें भी करने का कोई मतलब और जगत,उनके रूम पे जा के आप प्राइवेट बातें भी करने का कोई मतलब और जगह,उनके कमरे पर जाकर आप प्राइवेट बातें भी करने का कोई मतलब नहीं है।
मेरे घर में सबसे ज़्यादा जो गार्डनिंग में इंट्रेस्टिड है वो है मेरी माँ,हाँ मेरे घर में सबसे ज़्यादा जो गार्डनिंग में इंट्रेस्टेड है वो है मेरी माँ,"मेरे घर में सबसे ज़्यादा जो गार्डनिंग में इंटरेस्टेड हैं, वो मेरी माँ हैं।"
मेरी माँ को गार्डनिंग बहुत अच्छा लगता है वो बहुत सारे पौधे लगाती है जो फूल देती है और जो आजकल तो सब लोग वो लगाते हैं सकलेंस तो वो सकलें्स भी लगती है इनडोर प्लांट्स लगाती है और पौधों को बहुत ज़्यादा प्यार करती है और,हाँ मेरी माँ को गार्डनिंग बहुत अच्छा लगता है वो बहुत सारे पौधे लगाती है जो फूल देती है और जो आजकल तो सब लोग वो लगाते हैं सक्यूलेंट्स तो वो सक्यूलेंट्स भी लगाती है इनडोर प्लांट्स लगाती है और पौधों को बहुत ज़्यादा प्यार करती है और,"मेरी माँ को गार्डनिंग बहुत पसंद है। वह बहुत सारे पौधे लगाती हैं जो फूल देते हैं, और आजकल तो सब लोग सकलेन्ट्स लगाते हैं। वह इनडोर प्लांट्स भी लगाती हैं और पौधों को बहुत ज़्यादा प्यार करती हैं।"
वो सीज़न फ्लावस भीड़ लगाती है जो सीज़न में बहुत अच्छा खिलता है तो वो अगर कहीं प भी वो नया पौधा देखती है तो वो पौधा खरीद लेती है या अगर गाँव में हो,वो सीज़न फ्लार्स भी लगाती है जो उस सीज़न में बहुत अच्छा खिलता है तो वो अगर कहीं पे भी वो नया पौधा देखती है तो वो पौधा ख़रीद लेती है या अगर गाँव में हो,"वो सीज़न के फूल भीड़ लगाते हैं जो सीज़न में बहुत अच्छे खिलते हैं। तो वो अगर कहीं पर भी वो नया पौधा देखती हैं, तो वो पौधा खरीद लेती हैं या अगर गाँव में हों।"
तो वो ने वर से माँंग के लाती है और जब मामा के घर जाती है तो वहाँ से भी जो मामी पौधा लगाती है वो पौधे के बीज माँंग के,तो वो नेबर से माँग के लाती है और जब मामा के घर जाती है तो वहाँ से भी जो माँमी पौधा लगाती है वो पौधे के बीच माँग के,"तो वोने वर से माँग के लाती है और जब मामा के घर जाती है तो वहाँ से भी जो मामी पौधा लगाती है, वो पौधे के बीज माँग के।"
लाती है और घर परे लगाती है माँ की वजह से ही हमारे घर में बहुत सारे फुल खलेे हुए हैं,लाती है और घर पे लगाती है माँ की वजह से ही हमारे घर में बहोत सारे फूल खिले हुए हैं,लाती है और घर पर लगाती है माँ की वजह से ही हमारे घर में बहुत सारे फूल खिले हुए हैं
मैं हूँ तो दार्जलिंग डिस्ट्रिक से लेकिन मैं बचपन से कालपु डिस्ट्रिक में ही पढ़ी बली हूँ तो,मैं हूँ तो दार्जिलिंग डिस्ट्रिक्ट से लेकिन मैं बचपन से कालिम्पोंग डिस्ट्रिक्ट में ही पली बढ़ी हूँ तो,"मैं हूँ तो दार्जिलिंग डिस्ट्रिक से, लेकिन मैं बचपन से कालपेन डिस्ट्रिक में ही पढ़ी हूं।"
वो हम मलेट की रोटी बना कर खाते हैं और हम ये गेहू को पीस कर उसका उसको थोड़ा रफ पीसकर हम लोग फॉेज जैसा भी बना कर खाते हैं और हम लोग खाते हैं ये,वो हम मिलेट की रोटी बना के खाते हैं और हम ये गेहूँ को पीस कर उस का उसको थोड़ा रफ़ पीस कर हम लोग फोरिज जैसा भी बना के खाते हैं और हम लोग खाते हैं ये,हम मलेट की रोटी बना कर खाते हैं और हम गेहूं को पीसकर उसका थोड़ा रफ पीसकर फॉज जैसा भी बना कर खाते हैं।
ट्यूबल रूट्स खाते हैं हमारा पर्टिक्युलर एक फेस्टिवल है जिस पर हम सिर्फ ट्यूबल रूट्स खाते हैं,टूबर रूट्स खाते है हमारा पर्टिकुलर एक फ़ेस्टिवल है जिस पर हम सिर्फ ट्यूबर रूट्स खाते है,ट्यूबल रूट्स खाते हैं। हमारा एक विशेष त्योहार है जिस पर हम सिर्फ ट्यूबल रूट्स खाते हैं।
