One_Shot_Input,One_Shot_Response,Two_Shot_Input,Two_Shot_Response,Three_Shot_Input,Three_Shot_Response,Four_Shot_Input,Four_Shot_Response,Five_Shot_Input,Five_Shot_Response,Hypothesis,Ground Truth,Response
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
विकास की अंधी दौड़ में शामिल नहीं होना चाहिए और इसलिए मुझे भोपाल काफ़ी बेहतर और खूबसूरत लगता है",विकास की अंधी दौड़ में शामिल नहीं होना चाहिए और इसलिए मुझे भोपाल काफ़ी बेहतर और खूबसूरत लगता हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
वैसे तो अगर देखा जाए तो शिक्षा या स्वास्थ्य देखभाल या गरीबी या महिला सशक्तिकण सभी जो मुद्दे हैं वो बहुत ज़्यादा महत्वपूर्ण हैं",वैसे तो अगर देखा जाए तो शिक्षा या स्वास्थ्य देखभाल या गरीबी या महिला सशक्तिकरण सभी जो मुद्दे है वो बहुत ज़्यादा महत्वपूर्ण हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
चार",चार,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
पसंद करते थे खाना खाते टाइम या कोई भी काम होता था नीचे फर्श बिछा के दरी बिछा के",पसंद करते थे खाना खाते टाइम या कोई भी काम होता ता नीचे फ़र्श बिछा के दरी बिछा के,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अरे मैडम सुनिए ना मैंने एक यूनिफॉर्म दी थी अपने बच्चे की सिल्मंग के लिए उसके बारे में थोड़ा बता देती",अरे मैडम सुनिए ना मैंने एक यूनिफॉर्म दी थी अपने बच्चे की सिलने के लिए उसके बारे में थोड़ा बता देतीं,इसमेंक्योंकि वाटर मैनेजमेंट ऐसा है के अगर शुरूआत में आपने वाटर मैनेजमेंट में थोड़ा सा भी गलत काम है,ज़रूरी है इसमे क्योंकि वॉटर मैनेजमेंट ऐसा है कि अगर शुरुआत में आपने वाटर मैनेजमेंट में थोड़ा सा भी गलत काम,इसमें क्योंकि वाटर मैनेजमेंट ऐसा है कि अगर शुरुआत में आपने वाटर मैनेजमेंट में थोड़ा सा भी गलत काम किया है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
उनको समाज में उनकी भूमिका के बारे में बताया जाता है और",उनको समाज में उनकी भूमिका के बारे में बताया जाता है और,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
फ्रेशो सिग्नेचर हैंंडमेड स्पिनिच लवास के मेरे ऑर्डर की स्थिति क्या है",फ़्रेशो सिग्नेचर हैंडमेड स्पिनच लवाश के मेरे ऑर्डर की स्थिति क्या है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ हमने प्रयोगता में भाग लिया है हम लोग कई लोग दस पंद्रह लोग रहेें तो हम लोग गैद गंगा जी",हाँ हमने प्रतियोगिता में भाग लिया हैं हम लोग कई लोग दस पंद्रह लोग होते हैं तो हम लोग गए थे गंगा जी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो योग सिर्फ व्यायाम का हिस्सा नहीं है बल्कि वो हमारे जीवन का एक बहुत महत्वपूर्ण हिस्सा है",तो योग सिर्फ व्यायाम का हिस्सा नहीं है बल्कि वो हमारे जीवन का एक बहुत महत्वपूर्ण हिस्सा है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सरकार के द्वारा हमें कृषि के लिए नया बिजली कनेक्शन नहीं मिलता बिजली की कटौती के कारण किसानों को विभिन्न प्रकार की समस्याओं का सामना करना पड़ता है किसान अपनी सुविधाएँ खुद करता है और उसका बिजली",सरकार के द्वारा हमें कृषि के लिए नया बिजली कनेक्सन नहीं मिलता बिजली की कटौती के कारण किसानों को विभिन्न प्रकार की समस्याओं का सामना करना पड़ता है किसान अपनी सुविधाएँ खुद करता है और उसका बिजली,प्लांट की म्यूनिटी भी दोनों कॉम्पोनेंट से है,होता है प्लांट की इम्यूनिटी भी दोनों कॉम्पोनेंट से ही,प्लांट की म्यूटेंट भी दोनों कॉम्पोनेंट से है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ",हाँ,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
दोस्तों के साथ समय बिताने के लिए भी हम विीडियो गेम खेलते हैं और इसका एक कारण य भी है कि दिमाग को ये वीडियो गेम बेहतर बनाता है",दोस्तों के साथ समय बिताने के लिए भी हम विडियो गेम खेलते हैं और इसका एक कारण यह भी है की दिमाग को यह विडियो गेम बेहतर बनाता है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो वे वापस आते समय उन्होंने अपने मित्र से कहा कि आप नाव से जा रहे हैं तो मेरा बस्ता ले जाएँ",तो वे वापस आते समय उन्होंने अपने मित्र से कहा कि आप नाव से जा रहे हैं तो मेरा बस्ता ले जाएँ,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ताकि ऐसा ना हो कि कोई पानी ना पिए क्योंकि पानी ट्यूबवेल का या अगर हम मोटर से पानी भरते हैं नल से तो पानी कहीं ना कहीं गंदा होता है फ़िल्टर नहीं होता",ताकि ऐसा ना हो कि कोई पानी ना पिए क्योंकि पानी ट्यूबवेल का या अगर हम मोटर से पानी भरते हैं नल से तो पानी कहीं ना कहीं गंदा होता है फिल्टर नहीं होता,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ",हाँ हाँ,हमैकइसमें पॉइंट आपका ै,हाँ मई इसमें पॉंट आपका एड,हम इसमें पॉइंट आपका है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ तो वो ऐसे यह है य नहीं कि आपके पास आप दो चार कि बोल हैं और लाइन लगी रहे सुबह से शाम तक और यहाँ पे आके आप शोर शराबा करो ऐसा नहीं होना चाहिए",तो वो ऐसा ही है ये ना कि आप के पास आप दो चार जो बोले और लाइन लगी रहे सुबह से शाम तक और यहाँ पे आके आप शोर शराबा करो ऐसा नहीं होना चाहिए,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मुझे परिवार और दोस्तों के साथ मनोरंजन के लिए जब कहीं बैठ जाए तो अंताक्षरी खेलने लगते हैं अंताक्षरी में पता ही नहीं चलता कब",मुझे परि‍वार और दोस्‍तों के साथ मनोरंजन के लिए जब कहीं बैठ जाएं तो अंताक्षरी खेलने लगते हैं अंताक्षरी में पता ही नहीं चलता कब,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
साल में कई बड़े त्योहार मनाए जाते हैं यहाँ पर जिसप मुख्यतः है राजस्थान इंटरनेशनल फॉल्क फेस्टिवल",साल में कई बड़े त्यौहार मनाए जाते हैं यहाँ पर जिसमें मुख्यतः है राजस्थान इंटरनेशनल फॉल्क फेस्टिवल,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सभी माता पिताओं ने हमारे समारोह की काफ़ी तारीफ की थी और जो नृत्य था हमने भी काफ़ी अच्छे से हमारा नृत्य किया था और हम मैंने कई समारोह देखे भी हैं जैसे कि हम सभी के विद्यालयों में",सभी माता पीताओं ने हमारे समारोह की काफ़ी तारीफ की थी और जो नृत्य था हमने भी काफ़ी अच्छे से हमारा नृत्य किया था और हमने मैंने कई समारोह देखे भी हैं जैसे कि हम सभी के विद्यालयों में,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
बंद कर दिया गया क्योंकि वहाँ पर भी सामूहिक कीर्तन होता है तो वहाँ पर मंगलवारार का सामूहिक कीर्तन होता है तो वहाँ पर भी",बंद कर दिया गया है क्योंकि वहाँ पर भी सामूहिक कीर्तन होता है तो वहाँ पर मंगलवार को सामूहिक कीर्तन होता है तो वहाँ पर भी,और आप जहां तीन सपरे आपके सकिंग पेस्ट के होने या थ्रिप्स का है,पड़ता है और आप जहां तीन सपरे आपके सकिंग बेस्ट के होने या थ्रिप्स का,और आप जहाँ तीन सपने आपके सकिंग पेस्ट के होने या थ्रिप्स का है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
क्या तुम जहाँ मैं हूँ वहाँ की वर्तमान यातायात स्थिति बता सकते हो",क्या तुम जहाँ मैं हूँ वहाँ की वर्तमान यातायात स्थिति बता सकते हो,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जिसका मैं उपयोग करती हूँ और अपने जीवन में इसका इस्तेमाल करती हूँ ऐसा घर का बच्चा लोग बोलता है कि जो कीबैड वाला फोन है",जिसे मैं उपयोग करती हूँ और अपने जीवन में इसका इस्तेमाल करती हूँ ऐसा घर का बच्चा लोग बोलता हैं कि जो कीपैड वाला फोन है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
भीड़ थोड़ी बहुत भीड़ तो रहे था लेकिन आपको दिक्कत आएगी लेकिन हम आपके साथ चलेंगे आपको कोई दिक्कत नहीं आने लगेगा",भीड़ थोड़ी बहुत भीड़ तो है सर लेकिन आपको दिक्कत आएगी लेकिन हम आपके साथ चलेंगे आपको कोई दिक्कत नहीं आने देंगे सर,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
भाषाओं का थोड़ा कम प्रचलन है तो हमें वह सामना करना पड़ता है उन्हें हम बात करने के लिए और समझाने के लिए उन्ह हमें इंग्लिश भाषा का अंग्रेज़ी भाषा का उपयोग करना पड़ता है",भाषाओं का थोड़ा कम प्रचलन है तो हमें वह सामना करना पड़ता है उन्हें हम बात करने के लिए और समझने के लिए हमें इंग्लिश भाषा का अंग्रेजी भाषा का उपयोग करना पड़ता है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
कमरे में लाइट चाहेंगे और",छः कमरे में लाइट चाहिए और,इसका पानी की मात्रा बढ़ने से इसके साथ ये चिपक गया इसको हवा सेये,इसका पानी की मात्रा बढ़ने से इसके साथ यह छिपक गया इसको हवा से ये,"इसके पानी की मात्रा बढ़ने से ये चिपक गया, इसे हवा से।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
एक",एक,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और भी बहुत सारे पार्क है सेंट्रल पार्क है खेल सुविधाएँ बहुत तरह की है खेल सुविधाओं में सवाई मानसिक",और भी बहुत सारे पार्क है सा सेंट्रल पार्क है खेल सुविधायें बहुत तरह की है खेल सुविधाओं में सवाई मान सिंह,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
पौधों को अधिक लाभ पहुँचने का मतलब होता है कि हमें भी लाभ होना तो बचपन से ही मैंने ये सब चीज़ें",पौधों को अधिक लाभ पहुँचने का मतलब होता है कि हमें भी लाभ होना तो बचपन से ही मैंने ये सब चीज़ें,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
उसका एक तो कलर बहुत जो फेड हो चुका था बहुत गाढ़ा डार्क कलर था और उसमें दिखाया बहुत हल्का कलर था",उसका एक तो कलर बहुत जो फेड हो चूका था बहुत गाढ़ा डार्क कलर था और उसमें दिखाया बहुत हल्का कलर था,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हेलो मैं अपना वेमो प्लग बंद करना चाहता हूँ",हैलो मैं अपना देमों प्लग बंद करना चाहता हूँ,इतना हमको चाहिए तो जो रै,स्टॉक है इतना हमको चाहिए तो जो रिच,इतना हमको चाहिए तो जो रह।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
कल तीन पाउच डॉक्टर ओटेकर मूँगफली का मक्खन भलाईदार की कीमत क्या थी",कल तीन पाउच डॉक्टर ओटेकर मूँगफली का मक्खन मलाईदार की कीमत क्या थी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
उसो उस कैमरे से फ़ोटो बहुत प्यारी आ रही थी फोटो खींचने के बाद हमने",उस उस कैमरे से फोटू बहुत प्‍यारी आ रही थीं फोटू खींचने के बाद हमने,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मिल जाएगा",मिल जाएगा,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अच्छा क्या आप कैश ऑन डिलीवरी कैश ऑन डिलीवरी की सुविधा आपके पास उपलब्ध है",अच्छा क्या आप कैश ऑन डिलीवरी कैश ऑन डिलीवरी की सुविधा आपके पास उपलब्ध है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
कलाकृति की प्रतियोगिता हुई जिसमें मैंने भाग लिया वहाँ चित्र बनाते समय",कलाकृति की प्रतियोगिता हुई जिसमें मैंने भाग लिया वहाँ चित्र बनाते समय,जो छुगाई करने वाला है,लेबर है जो चुगाई करने वाला,जो छुड़ाई करने वाला है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ मैं आपको अपने परिवार और दोस्तों के बारे में बताती हूँ हम परिवार में बारह लोग हैं जिसमें मेरी मम्मी पापा चाछा और हम",हाँ मैं आपको अपने परिवार और दोस्तों के बारे में बताती हूँ हम परिवार में बारह लोग हैं जिसमें मेरी मम्मी पापा चाचा और हम,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और शहरों में हम केवल फुटबाल बैडमििनंटन",और शहरों में हम केवल फुटबॉल बैडमिंटर,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अपने ड्राइंग बुक प अपने ड्राइंग से उसको मूर्ति को बनाना और उसमें हू बहू उसी तरीके से कलर करना",अपने ड्राइंग पे अपने ड्राइंग्स से उसको मूर्ति को बनाना और उसमें वह बहु उसी तरीके से कलर करना,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हिंदी भाषा हमारी मातृभाषा है और यह सबसे ज़्यादा बोली जाने वाली भाषा है",हिंदी भाषा हमारी मातृभाषा है और यह सब से ज़्यादा बोली जाने वाली भाषा है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
आते हैं पूजा में भाग लेते हैं और मने दुर्गा पूजा और दिवाली ये सब जो पर्व होता है त्योहार होता है बड़ ही धूम धाम से मनाया जाता है",आते हैं पूजा में भाग लेते हैं और दुर्गा पूजा और दिवाली यह सब जो पर्व होता है त्योहार होता है बड़ा ही धूमधाम से मनाए जाते हैं,फेमिली आपका पोटैटो बलॉन करता है,फ़ैमिली में आपका पोटाटो बेलोंग करता है,फैमिली आपका पोटैटो बलून करता है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी जी जी बिल्कुल मैडम",जी जी जी बिल्कुल मैडम,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सपोर्ट के लिए और ना हो तो",सपोर्ट के लिए और ना हो तो,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
यहाँ के सरकारी टीचर जो आते हैं चुपचाप बैठे रहते हैं और बच्चों पे ध्यान नहीं देते जिससे बच्चे आगे पढ़ नहीं पाते इसलिए हमारे जो पढ़ाकू बच्चे होते हैं जो कि दूसरे शहर जाके पढ़ते हैं वहाँ रूम लेकर हाई स्कूल जब वो पास हो जाते हैं तो फिर",यहाँ के सरकारी टीचर जो आते हैं चुपचाप बैठे रहते हैं और बच्चों पे ध्यान नहीं देते जिससे बच्चे आगे पढ़ नहीं पाते इसलिए हमारे जो पढ़ाकू बच्चे होते हैं जो कि दूसरे शहर जाके पढ़ते हैं वहाँ रूम लेके हाई स्कूल जब वो पास हो जाते हैं तो फिर,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मैं मौजूदा पौधों के लिए पौधों में अधिक से अधिक उत्पादन के लिए मैं अच्छी खाद अच्छी बीज का प्रयोग करता हूँ इसके साथ ही",मैं मौजूदा पौधों के लिए पौधों में अधिक से अधिक उत्पादन के लिए मैं अच्छी खाद अच्छे बीज का प्रयोग करता हूँ इसके साथ ही,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
बहुत ही अच्छा था मैं उस दिन को आज तक याद रखता हूँ कि मैंने उस घड़ी के लिए कई दिन वेट किए कई पैसे इकट्ठा किए तब जाकर वह घड़ी मैं खरीद खरीद पाया मेरे जीवन का वो सबसे बेहतरीन दिन होगा",बहुत ही अच्छा था मैं उस दिन को आज तक याद रखता हूँ कि मैंने उस घड़ी के लिए कई दिन वेट किए पैसे इकट्ठे किए तब जाकर वह घड़ी मैं खरीद खरीद पाया मेरे जीवन का वो सबसे बेहतरीन दिन होगा,ये हो या और भी जैसे हमारी तचा रू की सूखी बनी है,कहते हैं ये हो या और भी जिसे हमारी त्वचा रूखी सूखी बनी,ये हो या और भी जैसे हमारी त्वचा रूखी बनी है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
राजा या फिर नेता किस प्रकार जनता को झूटे दिलासे देकर उनसे अपना काम निकलवा लेते हैं तथा उनका जीवन भर शोषण करते रहते हैं",राजा या फिर नेता किस प्रकार जनता को झूठे दिलासे देकर उनसे अपना काम निकलवा लेते हैं तथा उनका जीवन भर शोषण करते रहते हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
स्कूल में मुझे सामाजिक विज्ञान पढ़ना बहुत पसंद था और सुनना म सामाजिक विज्ञान में",स्कूल में मुझे सामाजिक विज्ञान पढ़ना बहुत पसंद था और सुनना व सामाजिक विज्ञान में,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अगर दोस्तों के साथ कहीं क्रिकेट खेलने जाओ तो फिर वहाँ पे क्रिकेटे क्रिकेट अच्छे से खेला जाता है दोस्त बोलते हैं बैटिंग करने के लिए बॉलिंग करने के लिए सब कुछ बोलते हैं एक बार",अगर दोस्तों के साथ कहीं किर्केट खेलने जाओ तो फिर वहाँ पर किर्केट खेल किर्केट अच्छे से खेला जाता है दोस्त बोलते हैं मत बैटिंग करने के लिए बाउलिंग करने के लिए सब कोई बोलते हैं एक बार,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी मैम नहीं नहीं जैसा आपको जहाँ जाना है हमने आपको एक बार गाड़ी दे दी आप इसके बाद कहीं ले जाओ हम केवल किलोमीटर देखेंगे वापस गाड़ी का जब आप लेके आएंगे कितना चलाया है आपने गाड़ी को",जी मैम नहीं नहीं जैसा आपको जहाँ जाना है हमने आपको एक बार गाड़ी दे दी उसके बाद कहीं ले जाओ हम केवल किलोमीटर देखेंगे वापस गाड़ी का जब आप लेकर आऐंगे कितना चलाया है आपने गाड़ी को,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
उनके हिसाब से आज भी राजस्थान में कुछ ऐसे गाँव हैं छोटे गाँव में जो लोगों की सोच है वह यह है कि लड़की घर बैठ के घर का काम करें घर का काम काज संभालें यही उनके जीवन की",उनके हिसाब से आज भी राजस्थान में कुछ ऐसे गाँव है छोटे गाँव में जो लोगों की सोच है वह यह है कि लड़की घर बैठके घर का काम करे घर का कामकाज सम्भाले यही उनके जीवन की,और कौरव पांडव की सेनाएं आमने सामने हैं,और कौरव पांडव की सेनाये आमने सामने हैं,और कौरव-पांडव की सेनाएं आमने-सामने हैं
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ हाँ हाँ हाँ हाँ हाँ",हाँ हाँ हाँ हाँ हाँ हाँ,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
देखें ये घर की क्या स्थिति है क्या है क्या लेना है क्या लेना है सब देखेंग",देखेंगे घर की क्या स्थिति है क्या है क्या देना है क्या लेना है सब देखेंगे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
इसकी विशेषता को बताकर इसका प्रचार कर सकते हैं और संरक्षण करने के लिए हमें कुछ नियम कानून लाग लागू करने होंगे",उसकी विशेषता को बताकर उसका प्रचार कर सकते हैं और संरक्षण करने के लिए हमें कुछ नियम कानून लाने लागू करने होंगे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
दो सौ तक में मिल जाएंगे दो सौ दो सौ से थोड़ी सी अच्छी क्वालिटी लेंगे तो आपको तीन साढ़े तीन सौ तक का मिलेगा",दो सौ तक में मिल जाएंगे दो सौ दो सौ से थोड़ी सी अच्छी क्वालिटी लेंगे तो आपको तीन साढ़े तीन सौ तक का मिलेगा,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
पूरी तरीके से समर्पित करता हूँ क्योंकि मैं इसमें आगे जाना चाहता हूँ मैं शुरू से इस खेल के प्रति पूर्ण तरह से समर्पित रहा हूँ क्योंकि इससे मेरे को फायदे ये होते हैं कि मैं सुबह अर्ली मॉर्निंग सुबह जल्दी उठता हूँ मेरे फिजिकल को मैं अच्छी तरीके से ध्यान दे पाता हूँ",पूरी तरीके से समर्पित करता हूँ क्योंकि मैं इसमें आगे जाना चाहता हूँ मैं शुरू से इस खेल के प्रति पूर्ण तरह से समर्पित रहा हूँ क्योंकि इससे मेरे को फायदे ये होते हैं कि मैं सुबह अर्ली मॉर्निंग सुबह जल्दी उठता हूँ मेरे फिजिकल को मैं अच्छी तरीके से ध्यान दे पाता हूँ,और युद्ध के आगाज के बाद,और युद्ध के आगा आगाज के बाद,और युद्ध के आगाज़ के बाद
